machine,comparison,kind,model,reference_fla,candidate_fla,loss_abs,tensor,exact,max_abs,relative_l2,tensor_passed,comparison_passed,source
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.embeddings.word_embeddings.weight,False,1.1175870895385742e-08,4.096810379650431e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.norm1.bias,False,9.313225746154785e-10,1.241662936678299e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.norm1.weight,False,5.820766091346741e-10,1.0765042642470258e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.norm2.bias,False,3.4924596548080444e-10,9.455504122696783e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.norm2.weight,False,2.9103830456733704e-10,9.238943789652191e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.sequence_mixer.mixer.conv.conv.bias,False,1.1641532182693481e-10,7.181785023728874e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.sequence_mixer.mixer.conv.conv.weight,False,1.7462298274040222e-10,6.995568209790342e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.sequence_mixer.mixer.projection.bias,False,4.656612873077393e-10,9.293043132724313e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.0.sequence_mixer.mixer.projection.weight,False,9.313225746154785e-10,8.645508916707348e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.norm1.bias,False,1.6007106751203537e-10,2.2131907861495194e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.norm1.weight,False,1.1641532182693481e-10,2.1349161040003503e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.norm2.bias,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
