machine,fla_variant,fla_version,model,repeat_id,seed,optimizer_steps,precompiled,batch_order_match,total_wall_seconds,train_wall_seconds_excluding_validation,validation_wall_seconds,final_validation_accuracy,peak_allocated_bytes,peak_reserved_bytes,torch,zoology_commit,source
2080ti,v042,0.4.2,flash,1,124,704,True,True,399.9670405439101,338.6531331918668,61.313907352043316,0.946722027972028,3822538240,4380950528,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/warmed-epoch-v042/flash-r1/result.json
2080ti,v042,0.4.2,flash,2,124,704,True,True,394.96021666098386,336.2321604427416,58.72805621824227,0.9582797202797203,3822538240,4380950528,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/warmed-epoch-v042/flash-r2/result.json
2080ti,v042,0.4.2,flash,3,124,704,True,True,394.97199446382,336.86019485397264,58.11179960984737,0.949048951048951,3822538240,4380950528,2.6.0+cu118,7c18c8941c465a5108697cf8f17fdb170585af6b,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/warmed-epoch-v042/flash-r3/result.json
2080ti,v042,0.4.2,gdn,1,124,704,True,True,284.79177643102594,250.10892839170992,34.68284803931601,0.9625437062937063,2550612992,3303014400,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/warmed-epoch-v042/gdn-r1/result.json
2080ti,v042,0.4.2,gdn,2,124,704,True,True,279.6290178268682,246.03842826583423,33.590589561033994,0.9625437062937063,2550612992,3303014400,2.6.0+cu118,7c18c8941c465a5108697cf8f17fdb170585af6b,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/warmed-epoch-v042/gdn-r2/result.json
2080ti,v042,0.4.2,gdn,3,124,704,True,True,279.6408040660899,246.06164072616957,33.57916333992034,0.9625437062937063,2550612992,3303014400,2.6.0+cu118,7c18c8941c465a5108697cf8f17fdb170585af6b,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/warmed-epoch-v042/gdn-r3/result.json
3090,v042,0.4.2,flash,1,124,704,True,True,332.06153377890587,289.8512595053762,42.21027427352965,0.9790367132867133,3822575104,4380950528,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/warmed-epoch-v042/flash-r1/result.json
3090,v042,0.4.2,flash,2,124,704,True,True,330.846039862372,287.97557936701924,42.870460495352745,0.9750192307692308,3822575104,4380950528,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/warmed-epoch-v042/flash-r2/result.json
3090,v042,0.4.2,flash,3,124,704,True,True,339.7365165743977,297.1836358718574,42.55288070254028,0.9728933566433566,3822575104,4380950528,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/warmed-epoch-v042/flash-r3/result.json
3090,v042,0.4.2,gdn,1,124,704,True,True,383.0045631788671,347.0944154933095,35.910147685557604,0.962770979020979,2550612992,3303014400,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/warmed-epoch-v042/gdn-r1/result.json
3090,v042,0.4.2,gdn,2,124,704,True,True,413.16592141147703,374.9949791915715,38.170942219905555,0.962770979020979,2550612992,3303014400,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/warmed-epoch-v042/gdn-r2/result.json
3090,v042,0.4.2,gdn,3,124,704,True,True,395.8651300193742,358.7676634239033,37.097466595470905,0.962770979020979,2550612992,3303014400,2.6.0+cu118,bff8099a7b3c5cd3754bb4599ae5ba03851d3dee,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/warmed-epoch-v042/gdn-r3/result.json
