timestamp_utc,gpu,memory_used_mib,memory_total_mib
2026-05-19T03:29:51Z,0,199,11264
2026-05-19T03:29:51Z,1,6,11264
2026-05-19T03:29:56Z,0,511,11264
2026-05-19T03:29:56Z,1,6,11264
2026-05-19T03:30:01Z,0,769,11264
2026-05-19T03:30:01Z,1,6,11264
2026-05-19T03:30:06Z,0,771,11264
2026-05-19T03:30:06Z,1,6,11264
2026-05-19T03:30:11Z,0,781,11264
2026-05-19T03:30:11Z,1,6,11264
2026-05-19T03:30:16Z,0,783,11264
2026-05-19T03:30:16Z,1,6,11264
2026-05-19T03:30:21Z,0,801,11264
2026-05-19T03:30:21Z,1,6,11264
2026-05-19T03:30:26Z,0,801,11264
2026-05-19T03:30:26Z,1,6,11264
2026-05-19T03:30:31Z,0,1315,11264
2026-05-19T03:30:31Z,1,6,11264
2026-05-19T03:30:36Z,0,1317,11264
2026-05-19T03:30:36Z,1,6,11264
2026-05-19T03:30:41Z,0,1317,11264
2026-05-19T03:30:41Z,1,6,11264
2026-05-19T03:30:46Z,0,2855,11264
2026-05-19T03:30:46Z,1,6,11264
2026-05-19T03:30:51Z,0,2855,11264
2026-05-19T03:30:51Z,1,6,11264
2026-05-19T03:30:56Z,0,2857,11264
2026-05-19T03:30:56Z,1,6,11264
2026-05-19T03:31:01Z,0,2857,11264
2026-05-19T03:31:01Z,1,6,11264
2026-05-19T03:31:06Z,0,2857,11264
2026-05-19T03:31:06Z,1,6,11264
2026-05-19T03:31:11Z,0,2857,11264
2026-05-19T03:31:11Z,1,6,11264
2026-05-19T03:31:16Z,0,2857,11264
2026-05-19T03:31:16Z,1,6,11264
2026-05-19T03:31:21Z,0,2857,11264
2026-05-19T03:31:21Z,1,6,11264
2026-05-19T03:31:26Z,0,2859,11264
2026-05-19T03:31:26Z,1,6,11264
2026-05-19T03:31:32Z,0,2867,11264
2026-05-19T03:31:32Z,1,6,11264
2026-05-19T03:31:37Z,0,2869,11264
2026-05-19T03:31:37Z,1,6,11264
2026-05-19T03:31:42Z,0,2869,11264
2026-05-19T03:31:42Z,1,6,11264
2026-05-19T03:31:47Z,0,2869,11264
2026-05-19T03:31:47Z,1,6,11264
2026-05-19T03:31:52Z,0,2869,11264
2026-05-19T03:31:52Z,1,6,11264
2026-05-19T03:31:57Z,0,2869,11264
2026-05-19T03:31:57Z,1,6,11264
2026-05-19T03:32:02Z,0,2869,11264
2026-05-19T03:32:02Z,1,6,11264
2026-05-19T03:32:07Z,0,2869,11264
2026-05-19T03:32:07Z,1,6,11264
2026-05-19T03:32:12Z,0,2869,11264
2026-05-19T03:32:12Z,1,6,11264
2026-05-19T03:32:17Z,0,2869,11264
2026-05-19T03:32:17Z,1,6,11264
2026-05-19T03:32:22Z,0,2869,11264
2026-05-19T03:32:22Z,1,6,11264
2026-05-19T03:32:27Z,0,2869,11264
2026-05-19T03:32:27Z,1,6,11264
