variant,description,run_kind,completed_machines,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_accuracy_2080ti,final_accuracy_3090,loss_2080ti,loss_3090,passes_screen,read_topk,write_topk,update_norm_softcap,update_norm_softcap_mode,m_norm_cap,injection_warmup_start_train_steps,injection_warmup_end_train_steps,warmup_end_optimizer_step,read_selected_mass_2080ti,read_selected_mass_3090,read_selected_mass_abs_diff,read_entropy_2080ti,read_entropy_3090,read_entropy_abs_diff,read_margin_top1_top2_2080ti,read_margin_top1_top2_3090,read_margin_top1_top2_abs_diff,update_norm_mean_2080ti,update_norm_mean_3090,update_norm_mean_abs_diff,update_norm_p95_2080ti,update_norm_p95_3090,update_norm_p95_abs_diff,update_norm_max_2080ti,update_norm_max_3090,update_norm_max_abs_diff,update_softcap_hit_ratio_2080ti,update_softcap_hit_ratio_3090,update_softcap_hit_ratio_abs_diff,update_softcap_scale_mean_2080ti,update_softcap_scale_mean_3090,update_softcap_scale_mean_abs_diff,update_softcap_scale_min_2080ti,update_softcap_scale_min_3090,update_softcap_scale_min_abs_diff,update_softcap_scale_p05_2080ti,update_softcap_scale_p05_3090,update_softcap_scale_p05_abs_diff,m_norm_mean_2080ti,m_norm_mean_3090,m_norm_mean_abs_diff,m_norm_max_2080ti,m_norm_max_3090,m_norm_max_abs_diff,m_norm_cap_hit_ratio_2080ti,m_norm_cap_hit_ratio_3090,m_norm_cap_hit_ratio_abs_diff,lambda_mean_2080ti,lambda_mean_3090,lambda_mean_abs_diff,inject_ratio_2080ti,inject_ratio_3090,inject_ratio_abs_diff,injection_warmup_factor_2080ti,injection_warmup_factor_3090,injection_warmup_factor_abs_diff,write_strength_mean_2080ti,write_strength_mean_3090,write_strength_mean_abs_diff,raw_topk_mass_mean_2080ti,raw_topk_mass_mean_3090,raw_topk_mass_mean_abs_diff,write_top1_mass_mean_2080ti,write_top1_mass_mean_3090,write_top1_mass_mean_abs_diff,vq_entropy_2080ti,vq_entropy_3090,vq_entropy_abs_diff,vq_usage_max_2080ti,vq_usage_max_3090,vq_usage_max_abs_diff
r16-update-softcap0p5-injwarm512-rerun,formal rerun: read_topk=16 with smooth_p4 update_norm softcap=0.5 and residual injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.901,0.945,0.04399999999999993,4.399999999999993,0.981,0.989,0.236,0.184,False,16,4,0.5,smooth_p4,,0,2048,512,0.41,0.413,0.0030000000000000027,0.54,0.744,0.20399999999999996,1.19,0.869,0.32099999999999995,0.00715,0.151,0.14385,0.0431,0.993,0.9499,0.146,7.06,6.914,0.0,0.0765,0.0765,1.0,0.956,0.04400000000000004,0.998,0.071,0.927,1.0,0.547,0.45299999999999996,0.0234,0.0577,0.0343,1.0,12.0,11.0,,,,0.319,0.792,0.47300000000000003,0.235,0.237,0.0020000000000000018,1.0,1.0,0.0,0.00322,0.0417,0.03848,0.763,0.752,0.01100000000000001,0.825,0.83,0.0050000000000000044,2.05,2.11,0.06000000000000005,3080.0,3110.0,30.0
r8-update-softcap0p5-injwarm512,formal: read_topk=8 with update softcap=0.5 and residual injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.93,0.943,0.0129999999999999,1.29999999999999,0.986,0.989,0.21,0.183,True,8,4,0.5,smooth_p4,,0,2048,512,0.391,0.394,0.0030000000000000027,0.422,0.875,0.453,1.98,0.72,1.26,0.0488,0.112,0.0632,0.256,0.457,0.201,2.24,7.05,4.81,0.0184,0.0482,0.0298,0.99,0.97,0.020000000000000018,0.225,0.0712,0.1538,0.982,0.855,0.127,0.0811,0.0519,0.029200000000000004,6.28,11.4,5.12,,,,0.166,0.962,0.7959999999999999,0.159,0.284,0.12499999999999997,1.0,1.0,0.0,0.019,0.0226,0.003599999999999999,0.749,0.748,0.0010000000000000009,0.869,0.828,0.041000000000000036,2.02,2.11,0.08999999999999986,3190.0,3120.0,70.0
r4-update-softcap0p5-injwarm512,formal: read_topk=4 with update softcap=0.5 and residual injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.837,0.955,0.118,11.799999999999999,0.967,0.991,0.504,0.165,False,4,4,0.5,smooth_p4,,0,2048,512,0.381,0.388,0.007000000000000006,0.61,0.664,0.05400000000000005,1.14,1.21,0.07000000000000006,0.0266,0.278,0.2514,0.128,1.92,1.7919999999999998,0.946,11.0,10.054,0.00216,0.0989,0.09674,0.999,0.935,0.06399999999999995,0.524,0.0457,0.4783,0.998,0.331,0.667,0.067,0.0742,0.007199999999999998,7.06,13.4,6.340000000000001,,,,0.495,0.772,0.277,0.232,0.225,0.007000000000000006,1.0,1.0,0.0,0.00548,0.0679,0.06242,0.737,0.746,0.009000000000000008,0.817,0.823,0.006000000000000005,2.11,2.12,0.010000000000000231,3130.0,3100.0,30.0
r2-update-softcap0p5-injwarm512,formal: read_topk=2 with update softcap=0.5 and residual injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.859,0.696,0.16300000000000003,16.300000000000004,0.974,0.94,0.295,0.491,False,2,4,0.5,smooth_p4,,0,2048,512,0.35,0.369,0.019000000000000017,0.545,0.62,0.07499999999999996,1.12,1.33,0.20999999999999996,0.00216,0.168,0.16584000000000002,0.0117,0.733,0.7212999999999999,0.123,7.6,7.476999999999999,0.0,0.0739,0.0739,1.0,0.955,0.04500000000000004,0.999,0.0663,0.9327,1.0,0.66,0.33999999999999997,0.00763,0.185,0.17737,0.816,7.35,6.534,,,,0.62,0.352,0.268,0.232,0.24,0.00799999999999998,1.0,1.0,0.0,0.000435,0.0382,0.037765,0.763,0.769,0.006000000000000005,0.829,0.886,0.05700000000000005,2.04,1.98,0.06000000000000005,3090.0,3220.0,130.0
r16-injwarm512-only,"formal ablation: read_topk=16 with residual injection warmup only, no update softcap",formal,"2080ti,3090",True,0.956,0.841,0.11499999999999999,11.5,0.991,0.971,0.176,0.309,False,16,4,,none,,0,2048,512,0.424,0.427,0.0030000000000000027,0.744,0.687,0.05699999999999994,0.957,1.12,0.16300000000000014,0.0347,0.0917,0.057,0.161,0.577,0.4159999999999999,2.33,6.6,4.27,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0266,0.0598,0.0332,5.28,14.6,9.32,,,,0.543,0.817,0.2739999999999999,0.27,0.211,0.059000000000000025,1.0,1.0,0.0,0.0185,0.0342,0.015700000000000002,0.747,0.758,0.01100000000000001,0.817,0.826,0.009000000000000008,2.11,2.07,0.040000000000000036,3100.0,3060.0,40.0
dgeom-r16-update-softcap0p5-injwarm512,diagnostic only: D-direction geometry trace for read_topk=16 joint control; not used for formal pass/fail,d_geometry,"2080ti,3090",True,0.895,0.933,0.038000000000000034,3.8000000000000034,0.98,0.987,0.246,0.196,,16,4,0.5,smooth_p4,,0,2048,512,0.406,0.434,0.02799999999999997,0.588,0.649,0.061000000000000054,1.21,1.2,0.010000000000000009,0.0234,0.0542,0.030799999999999998,0.127,0.288,0.16099999999999998,0.534,3.57,3.0359999999999996,0.000135,0.0311,0.030965,0.999,0.984,0.015000000000000013,0.811,0.141,0.67,0.999,0.962,0.03700000000000003,0.0743,0.0344,0.039900000000000005,1.29,8.38,7.090000000000001,,,,0.255,0.729,0.474,0.217,0.25,0.033,1.0,1.0,0.0,0.0107,0.0182,0.0075000000000000015,0.765,0.753,0.01200000000000001,0.825,0.829,0.0040000000000000036,2.06,2.1,0.040000000000000036,3070.0,3100.0,30.0
dgeom-r16-injwarm512-only,diagnostic only: D-direction geometry trace for read_topk=16 injection-warmup-only ablation,d_geometry,"2080ti,3090",True,0.957,0.88,0.07699999999999996,7.699999999999996,0.991,0.978,0.171,0.261,,16,4,,none,,0,2048,512,0.432,0.41,0.02200000000000002,0.631,0.877,0.246,1.05,1.09,0.040000000000000036,0.0789,0.18,0.1011,0.544,1.13,0.5859999999999999,4.22,12.3,8.080000000000002,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0526,0.0888,0.0362,10.7,15.2,4.5,,,,0.643,0.777,0.134,0.255,0.199,0.055999999999999994,1.0,1.0,0.0,0.0342,0.0884,0.054200000000000005,0.75,0.758,0.008000000000000007,0.811,0.821,0.009999999999999898,2.11,2.09,0.020000000000000018,3070.0,3060.0,10.0
dgeom-r4-update-softcap0p5-injwarm512,diagnostic only: D-direction geometry trace for read_topk=4 joint control; not used for formal pass/fail,d_geometry,"2080ti,3090",True,0.823,0.883,0.06000000000000005,6.000000000000005,0.964,0.978,0.51,0.258,,4,4,0.5,smooth_p4,,0,2048,512,0.375,0.358,0.017000000000000015,0.659,0.828,0.16899999999999993,1.07,1.22,0.1499999999999999,0.0421,0.128,0.0859,0.229,0.922,0.6930000000000001,1.47,5.68,4.21,0.014,0.0794,0.0654,0.994,0.957,0.03700000000000003,0.342,0.0887,0.2533,0.982,0.591,0.391,0.0733,0.0603,0.013000000000000005,10.6,13.6,3.0,,,,0.538,0.749,0.21099999999999997,0.249,0.251,0.0020000000000000018,1.0,1.0,0.0,0.00852,0.0262,0.01768,0.736,0.753,0.017000000000000015,0.829,0.848,0.019000000000000017,2.1,2.07,0.03000000000000025,3160.0,3150.0,10.0
