variant,machines_completed,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap_percentage_points,passes_screen,decision
r16-update-softcap0p5-injwarm512-rerun,"2080ti,3090",True,0.901,0.945,4.399999999999993,False,do_not_promote; inspect mechanism metrics or redesign
r8-update-softcap0p5-injwarm512,"2080ti,3090",True,0.93,0.943,1.29999999999999,True,same_seed_pair_rerun_candidate
r4-update-softcap0p5-injwarm512,"2080ti,3090",True,0.837,0.955,11.799999999999999,False,do_not_promote; inspect mechanism metrics or redesign
r2-update-softcap0p5-injwarm512,"2080ti,3090",True,0.859,0.696,16.300000000000004,False,do_not_promote; inspect mechanism metrics or redesign
r16-injwarm512-only,"2080ti,3090",True,0.956,0.841,11.5,False,do_not_promote; inspect mechanism metrics or redesign
dgeom-r16-update-softcap0p5-injwarm512,"2080ti,3090",True,0.895,0.933,3.8000000000000034,True,same_seed_pair_rerun_candidate
dgeom-r16-injwarm512-only,"2080ti,3090",True,0.957,0.88,7.699999999999996,False,do_not_promote; inspect mechanism metrics or redesign
dgeom-r4-update-softcap0p5-injwarm512,"2080ti,3090",True,0.823,0.883,6.000000000000005,False,do_not_promote; inspect mechanism metrics or redesign
