variant,machine,optimizer_step,micro_step,layer_idx,block_idx,block_len,head_idx,code_idx,num_events,pair_total_count,pair_sample_count,pair_abs_cos_mean,pair_abs_cos_p50,pair_abs_cos_p90,pair_abs_cos_p95,pair_abs_cos_max,signed_cos_mean,signed_cos_std,adjacent_cos_mean,adjacent_abs_cos_mean,resultant_length,effective_rank,condition_number,update_norm_mean,update_norm_p95,update_norm_max,write_strength_mean,write_strength_p95,raw_topk_mass_mean,addr_z_norm_mean,addr_z_norm_p05,addr_z_norm_p95,addr_z_norm_min,trace_path
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,0,124,7626,4096,0.5585827231407166,0.5696622133255005,0.7538150548934937,0.7939684391021729,0.8495236039161682,0.5570749044418335,0.16868115961551666,0.6565365195274353,0.6565365195274353,0.7639268636703491,5.3638434410095215,11.301026344299316,0.07924804091453552,0.11284611374139786,0.14446592330932617,0.12236947566270828,0.1694459468126297,0.14546643197536469,2.038442373275757,1.4450057744979858,2.690086603164673,1.2461007833480835,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,1,185,17020,4096,0.5012404918670654,0.5154812335968018,0.7487727403640747,0.7993867993354797,0.9054616093635559,0.5011212229728699,0.19677986204624176,0.5686237812042236,0.5702260136604309,0.6943677663803101,6.976958274841309,9.681239128112793,0.08200719207525253,0.11024358868598938,0.158212810754776,0.12827259302139282,0.17267414927482605,0.1467815786600113,1.891222357749939,1.4012162685394287,2.367163896560669,1.0703052282333374,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,2,113,6328,4096,0.48533549904823303,0.48645076155662537,0.7211848497390747,0.7675914764404297,0.862655758857727,0.48518404364585876,0.18659615516662598,0.5521783232688904,0.5521783232688904,0.6931331157684326,6.8542985916137695,9.370542526245117,0.08018920570611954,0.10908562690019608,0.1165180429816246,0.12286972999572754,0.1634138822555542,0.14719755947589874,1.92490553855896,1.4167569875717163,2.4326424598693848,1.3229119777679443,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,3,123,7503,4096,0.3228047490119934,0.27927684783935547,0.6115391850471497,0.7385044097900391,0.84153813123703,0.2798839211463928,0.2615363299846649,0.38029900193214417,0.40234068036079407,0.5192551016807556,10.512382507324219,6.070363521575928,0.07746844738721848,0.1085602268576622,0.1371026635169983,0.12151926010847092,0.15337397158145905,0.14646120369434357,1.5555962324142456,1.1140007972717285,2.0142714977264404,0.9256542325019836,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,4,118,6903,4096,0.3522059917449951,0.36628180742263794,0.6624570488929749,0.7147423028945923,0.8394556641578674,0.3263728618621826,0.2560303807258606,0.3877457082271576,0.4087158739566803,0.5769291520118713,9.490391731262207,6.4863362312316895,0.07979005575180054,0.11287453025579453,0.1289011687040329,0.12164080142974854,0.15703095495700836,0.14458401501178741,1.605966567993164,1.196781039237976,2.1806423664093018,0.9095714688301086,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,5,144,10296,4096,0.36498844623565674,0.3601546287536621,0.6349514722824097,0.6832512021064758,0.8557852506637573,0.3543993830680847,0.22651125490665436,0.45394203066825867,0.4758027493953705,0.5599510669708252,9.702071189880371,5.874210834503174,0.08137493580579758,0.11538148671388626,0.16471032798290253,0.12624859809875488,0.17052476108074188,0.14495934545993805,1.605057954788208,1.2113420963287354,2.054551839828491,0.8104631304740906,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,6,109,5886,4096,0.3267720341682434,0.28652530908584595,0.6351589560508728,0.672978937625885,0.7277873754501343,0.2793903052806854,0.26381418108940125,0.3435334265232086,0.3819548189640045,0.5203189253807068,10.138973236083984,5.437652587890625,0.08121062070131302,0.11361224949359894,0.1391565352678299,0.12397795170545578,0.17067186534404755,0.14398670196533203,1.5880208015441895,1.0852768421173096,2.124147653579712,1.0032473802566528,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,7,122,7381,4096,0.5323450565338135,0.5558714866638184,0.7854536771774292,0.8038138747215271,0.8791961669921875,0.5318949222564697,0.2070990353822708,0.6329076886177063,0.6338920593261719,0.7445463538169861,5.625455856323242,10.285719871520996,0.07994585484266281,0.10851012915372849,0.1489742547273636,0.1263955682516098,0.16939525306224823,0.14725381135940552,2.066617488861084,1.6403087377548218,2.619074821472168,1.2109551429748535,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,8,145,10440,4096,0.531177282333374,0.5688543319702148,0.7684627771377563,0.7938048243522644,0.9925478100776672,0.5287113189697266,0.20337644219398499,0.5924959182739258,0.5924959182739258,0.7359703779220581,5.97742223739624,9.968093872070312,0.08102002739906311,0.10837309062480927,0.1425713747739792,0.12750688195228577,0.1696682870388031,0.14700235426425934,1.9504039287567139,1.4713054895401,2.4186854362487793,1.3875290155410767,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
dgeom-r16-injwarm512-only,2080ti,0,0,1,0,32,0,9,167,13861,4096,0.41760537028312683,0.425339937210083,0.6520416736602783,0.7146661281585693,0.7616090178489685,0.40048807859420776,0.2184167504310608,0.4986838698387146,0.5034500956535339,0.6218439936637878,8.490106582641602,8.308652877807617,0.08190356194972992,0.10795427113771439,0.15942512452602386,0.1297193169593811,0.17105823755264282,0.1455400139093399,1.7231825590133667,1.2670094966888428,2.1289639472961426,0.8673583269119263,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/traces/dgeom-r16-injwarm512-only/train_inline_step_0/micro_0/d_geometry_trace.jsonl
