variant,machine,optimizer_step,layer_idx,head_idx,code_idx,num_groups,num_events_sum,num_pairs_sampled_sum,pair_abs_cos_mean_mean,pair_abs_cos_mean_max,pair_abs_cos_mean_min,pair_abs_cos_p95_mean,pair_abs_cos_p95_max,pair_abs_cos_p95_min,pair_abs_cos_max_mean,pair_abs_cos_max_max,pair_abs_cos_max_min,signed_cos_mean_mean,signed_cos_mean_max,signed_cos_mean_min,resultant_length_mean,resultant_length_max,resultant_length_min,effective_rank_mean,effective_rank_max,effective_rank_min,condition_number_mean,condition_number_max,condition_number_min,update_norm_mean_mean,update_norm_mean_max,update_norm_mean_min,update_norm_p95_mean,update_norm_p95_max,update_norm_p95_min,update_norm_max_mean,update_norm_max_max,update_norm_max_min,write_strength_mean_mean,write_strength_mean_max,write_strength_mean_min,raw_topk_mass_mean_mean,raw_topk_mass_mean_max,raw_topk_mass_mean_min,addr_z_norm_mean_mean,addr_z_norm_mean_max,addr_z_norm_mean_min
dgeom-r16-injwarm512-only,2080ti,0,1,0,0,10,1102,0,0.5905199170112609,0.6181659698486328,0.5585827231407166,0.8157401144504547,0.8514269590377808,0.7939684391021729,0.8856103539466857,0.9356470108032227,0.8495236039161682,0.5902851045131683,0.6181659698486328,0.5570749044418335,0.7722817897796631,0.7864053249359131,0.7613387107849121,5.181643772125244,5.422452926635742,4.856935501098633,11.905144691467285,14.623148918151855,10.941173553466797,0.08100041449069977,0.08498650044202805,0.07759173214435577,0.1087575301527977,0.12167988717556,0.10249537974596024,0.13349825665354728,0.15751007199287415,0.1127910241484642,0.12261672168970109,0.12696222960948944,0.12033521384000778,0.14512496590614318,0.14651371538639069,0.1437399983406067,2.0652960538864136,2.093618154525757,2.0272390842437744
dgeom-r16-injwarm512-only,2080ti,0,1,0,1,10,1648,0,0.4667530804872513,0.5012404918670654,0.44445452094078064,0.7546060621738434,0.7993867993354797,0.7160180807113647,0.8575406193733215,0.9066582322120667,0.7975525856018066,0.4611481726169586,0.5011212229728699,0.4393358826637268,0.680153900384903,0.6943677663803101,0.6593894362449646,7.2238929748535154,7.539047718048096,6.912065029144287,8.862094306945801,9.681239128112793,8.175556182861328,0.083704274892807,0.08783148974180222,0.08112771809101105,0.11509435549378395,0.12470263987779617,0.109017014503479,0.14722201675176622,0.16762588918209076,0.12647312879562378,0.1286383494734764,0.13229551911354065,0.12718969583511353,0.1470942810177803,0.1491450071334839,0.14613735675811768,1.846807324886322,1.891222357749939,1.8011199235916138
dgeom-r16-injwarm512-only,2080ti,0,1,0,2,10,1224,0,0.4911370098590851,0.5355161428451538,0.44232919812202454,0.7706098437309266,0.8213086128234863,0.7259374856948853,0.8658205568790436,0.8980522155761719,0.8290199041366577,0.4873487651348114,0.5312169790267944,0.43469125032424927,0.6927410185337066,0.712851881980896,0.6689412593841553,6.9228850364685055,7.3946146965026855,6.496578693389893,8.564017868041992,9.413446426391602,7.618566036224365,0.08084003031253814,0.08365464955568314,0.07801975309848785,0.10854602605104446,0.1108328253030777,0.1044643223285675,0.13118940964341164,0.15518155694007874,0.1165180429816246,0.12366136983036995,0.12684059143066406,0.12063641101121902,0.14810530245304107,0.15011531114578247,0.14659523963928223,1.8549459099769592,1.92490553855896,1.8094980716705322
dgeom-r16-injwarm512-only,2080ti,0,1,0,3,10,1213,0,0.3092787951231003,0.3571976125240326,0.2644568085670471,0.6709619879722595,0.7974103093147278,0.6083653569221497,0.7777585566043854,0.8893905878067017,0.673080325126648,0.25357135087251664,0.31655454635620117,0.19868150353431702,0.500916263461113,0.5341749787330627,0.46898481249809265,10.659479331970214,11.03109359741211,10.269793510437012,5.6338310718536375,6.161722183227539,5.08876895904541,0.08028730750083923,0.08426915109157562,0.0757414773106575,0.10883837416768075,0.12121078372001648,0.10408589243888855,0.1373761460185051,0.14959155023097992,0.11858806014060974,0.12373379096388817,0.12872391939163208,0.12151926010847092,0.14558292031288148,0.14775563776493073,0.14334791898727417,1.5517285943031311,1.5733965635299683,1.5165882110595703
dgeom-r16-injwarm512-only,2080ti,0,1,0,4,10,1133,0,0.35573179423809054,0.39092761278152466,0.33410876989364624,0.6875202119350433,0.7158299088478088,0.6483280062675476,0.7951015830039978,0.8785598278045654,0.7543152570724487,0.33356974720954896,0.37703657150268555,0.3114902377128601,0.5812536776065826,0.6001870036125183,0.569355309009552,9.466847991943359,9.750776290893555,9.090293884277344,6.413220024108886,7.19663667678833,5.7696003913879395,0.0806224912405014,0.08427694439888,0.07789232581853867,0.10866553634405136,0.12140867114067078,0.10259152948856354,0.13080656304955482,0.16445277631282806,0.11383486539125443,0.12232675701379776,0.12595929205417633,0.11848801374435425,0.14407077431678772,0.14755815267562866,0.1424148678779602,1.6334424018859863,1.6935619115829468,1.6038107872009277
dgeom-r16-injwarm512-only,2080ti,0,1,0,5,10,1501,0,0.3306316167116165,0.36498844623565674,0.3070918917655945,0.6770072996616363,0.7584009170532227,0.5830560326576233,0.8131180882453919,0.8706891536712646,0.7049775123596191,0.2989913284778595,0.3543993830680847,0.259330153465271,0.5487798631191254,0.5630598068237305,0.5312427878379822,10.102085781097411,10.556899070739746,9.692255973815918,5.948438596725464,7.421967506408691,5.2036943435668945,0.0825485497713089,0.08614439517259598,0.07951411604881287,0.11373930945992469,0.11938422173261642,0.10991142690181732,0.14610341787338257,0.16471032798290253,0.1295507401227951,0.12597584277391433,0.12817130982875824,0.12252161651849747,0.1459352880716324,0.1475212424993515,0.14405301213264465,1.6028175354003906,1.6443452835083008,1.5754835605621338
dgeom-r16-injwarm512-only,2080ti,0,1,0,6,10,1102,0,0.319001367688179,0.3622114062309265,0.2868513762950897,0.6552704334259033,0.6942235231399536,0.5955594182014465,0.7912473380565643,0.9395503401756287,0.7277873754501343,0.27034671008586886,0.3137126564979553,0.21674513816833496,0.5294905483722687,0.561937153339386,0.5153495073318481,10.10906400680542,10.653202056884766,9.317790031433105,6.0411604881286625,6.872100830078125,5.361934661865234,0.08159423097968102,0.08524544537067413,0.07795262336730957,0.11314007192850113,0.12571540474891663,0.10189322382211685,0.13618854507803918,0.14995276927947998,0.1194625273346901,0.12434534803032875,0.12782901525497437,0.12135051190853119,0.14466340988874435,0.14635974168777466,0.1420680433511734,1.5766505479812623,1.639904260635376,1.5272541046142578
dgeom-r16-injwarm512-only,2080ti,0,1,0,7,10,1216,0,0.5706869125366211,0.6299479603767395,0.5323450565338135,0.8033573865890503,0.8247153162956238,0.7732919454574585,0.8776144206523895,0.9024441838264465,0.8424485921859741,0.56996288895607,0.6299479603767395,0.5318949222564697,0.7577987253665924,0.7874306440353394,0.7420933842658997,5.484509563446045,5.879110813140869,4.91022253036499,10.837677097320556,12.263688087463379,9.961884498596191,0.08107596337795257,0.08307142555713654,0.07837297767400742,0.10966103225946426,0.11565598845481873,0.10471364855766296,0.13774546831846238,0.15017105638980865,0.1256871521472931,0.12433355376124382,0.1263955682516098,0.12216268479824066,0.14599592238664627,0.1499830037355423,0.14317622780799866,2.0554901003837585,2.1252434253692627,1.999031662940979
dgeom-r16-injwarm512-only,2080ti,0,1,0,8,10,1299,0,0.5238992273807526,0.5479960441589355,0.5001364946365356,0.7953797101974487,0.8282909393310547,0.7683596611022949,0.8907300889492035,0.9925478100776672,0.7963900566101074,0.523204630613327,0.5479960441589355,0.5001364946365356,0.7230981171131134,0.7359703779220581,0.7023292183876038,6.25978455543518,6.715513706207275,5.946700096130371,10.205696868896485,11.405576705932617,8.80160140991211,0.08134393244981766,0.08548147976398468,0.07791078835725784,0.10960693508386612,0.11439050734043121,0.10277831554412842,0.1414586767554283,0.15837959945201874,0.12667255103588104,0.12409756630659104,0.12750688195228577,0.12107900530099869,0.14648284018039703,0.14860574901103973,0.14386960864067078,1.925859522819519,1.9880409240722656,1.8812278509140015
dgeom-r16-injwarm512-only,2080ti,0,1,0,9,10,1716,0,0.39193307161331176,0.41760537028312683,0.36654043197631836,0.7124795496463776,0.7486889362335205,0.6676554679870605,0.8400783002376556,0.9698219299316406,0.7616090178489685,0.3789442807435989,0.4039705991744995,0.3564695715904236,0.6170324146747589,0.6349945068359375,0.6019129157066345,8.736192607879639,9.072478294372559,8.397122383117676,7.496716451644898,8.308652877807617,6.475424766540527,0.08165076747536659,0.08486192673444748,0.07548154145479202,0.11003078520298004,0.11788094788789749,0.10165004432201385,0.14369450360536576,0.16964802145957947,0.11528919637203217,0.1259919971227646,0.1297193169593811,0.1223621591925621,0.1478285536170006,0.1507607102394104,0.1455400139093399,1.7168332576751708,1.7443593740463257,1.679713249206543
