variant,optimizer_step,layer_idx,head_idx,code_idx,final_1024x256_2080ti,final_1024x256_3090,higher_final_machine,num_events_sum_2080ti,num_events_sum_3090,pair_abs_cos_p95_mean_2080ti,pair_abs_cos_p95_mean_3090,pair_abs_cos_p95_mean_abs_diff,pair_abs_cos_max_mean_2080ti,pair_abs_cos_max_mean_3090,pair_abs_cos_max_mean_abs_diff,effective_rank_mean_2080ti,effective_rank_mean_3090,effective_rank_mean_abs_diff,condition_number_mean_2080ti,condition_number_mean_3090,condition_number_mean_abs_diff,update_norm_p95_mean_2080ti,update_norm_p95_mean_3090,update_norm_p95_mean_abs_diff,update_norm_max_mean_2080ti,update_norm_max_mean_3090,update_norm_max_mean_abs_diff,write_strength_mean_mean_2080ti,write_strength_mean_mean_3090,write_strength_mean_mean_abs_diff,raw_topk_mass_mean_mean_2080ti,raw_topk_mass_mean_mean_3090,raw_topk_mass_mean_mean_abs_diff
dgeom-r16-injwarm512-only,0,1,0,0,0.957,0.88,2080ti,1102,1087,0.8157401144504547,0.8305276095867157,0.014787495136260986,0.8856103539466857,0.8876513659954071,0.0020410120487213135,5.181643772125244,5.172461986541748,0.009181785583495916,11.905144691467285,11.916391849517822,0.01124715805053711,0.1087575301527977,0.10991149619221688,0.0011539660394191825,0.13349825665354728,0.1331237770617008,0.0003744795918464716,0.12261672168970109,0.12380707561969757,0.0011903539299964877,0.14512496590614318,0.14478541761636735,0.0003395482897758373
dgeom-r16-injwarm512-only,0,1,0,1,0.957,0.88,2080ti,1648,1701,0.7546060621738434,0.7527673304080963,0.0018387317657471147,0.8575406193733215,0.8570715069770813,0.00046911239624014556,7.2238929748535154,7.161538362503052,0.06235461235046369,8.862094306945801,8.685408735275269,0.17668557167053223,0.11509435549378395,0.11491881236433983,0.00017554312944412231,0.14722201675176622,0.1453543409705162,0.0018676757812500222,0.1286383494734764,0.12795043736696243,0.000687912106513977,0.1470942810177803,0.1467670351266861,0.0003272458910942022
dgeom-r16-injwarm512-only,0,1,0,2,0.957,0.88,2080ti,1224,1217,0.7706098437309266,0.7711710333824158,0.0005611896514892134,0.8658205568790436,0.8663430094718934,0.0005224525928497759,6.9228850364685055,6.994312572479248,0.07142753601074237,8.564017868041992,8.636605072021485,0.07258720397949325,0.10854602605104446,0.10792045220732689,0.0006255738437175723,0.13118940964341164,0.13111726343631744,7.214620709419806e-05,0.12366136983036995,0.1233103945851326,0.0003509752452373477,0.14810530245304107,0.1472605437040329,0.0008447587490081621
dgeom-r16-injwarm512-only,0,1,0,3,0.957,0.88,2080ti,1213,1285,0.6709619879722595,0.6314381659030914,0.039523822069168046,0.7777585566043854,0.791762238740921,0.014003682136535578,10.659479331970214,10.844816207885742,0.18533687591552805,5.6338310718536375,5.5786200046539305,0.05521106719970703,0.10883837416768075,0.10853546708822251,0.0003029070794582367,0.1373761460185051,0.1296696811914444,0.007706464827060694,0.12373379096388817,0.12314794138073921,0.0005858495831489591,0.14558292031288148,0.14592189639806746,0.000338976085185988
dgeom-r16-injwarm512-only,0,1,0,4,0.957,0.88,2080ti,1133,1121,0.6875202119350433,0.6840414822101593,0.0034787297248840554,0.7951015830039978,0.7985037446022034,0.003402161598205611,9.466847991943359,9.508399295806885,0.041551303863526456,6.413220024108886,6.027770137786865,0.3854498863220215,0.10866553634405136,0.10838143154978752,0.0002841047942638425,0.13080656304955482,0.131930011510849,0.0011234484612941686,0.12232675701379776,0.1223080299794674,1.8727034330368042e-05,0.14407077431678772,0.1442987158894539,0.00022794157266617376
dgeom-r16-injwarm512-only,0,1,0,5,0.957,0.88,2080ti,1501,1501,0.6770072996616363,0.6707334280014038,0.006273871660232522,0.8131180882453919,0.8063730597496033,0.006745028495788619,10.102085781097411,10.058991622924804,0.04309415817260742,5.948438596725464,5.919318723678589,0.029119873046875355,0.11373930945992469,0.11305228993296623,0.00068701952695846,0.14610341787338257,0.1396557942032814,0.006447623670101182,0.12597584277391433,0.12585586681962013,0.00011997595429419361,0.1459352880716324,0.14659316837787628,0.0006578803062438909
dgeom-r16-injwarm512-only,0,1,0,6,0.957,0.88,2080ti,1102,1095,0.6552704334259033,0.6616652011871338,0.006394767761230491,0.7912473380565643,0.8023412704467774,0.011093932390213057,10.10906400680542,10.142497444152832,0.03343343734741211,6.0411604881286625,5.994841623306274,0.04631886482238823,0.11314007192850113,0.11205377951264381,0.0010862924158573234,0.13618854507803918,0.14633193984627724,0.010143394768238057,0.12434534803032875,0.12510630562901498,0.0007609575986862321,0.14466340988874435,0.14462513476610184,3.827512264251154e-05
dgeom-r16-injwarm512-only,0,1,0,7,0.957,0.88,2080ti,1216,1184,0.8033573865890503,0.8042630434036255,0.0009056568145752175,0.8776144206523895,0.8861545264720917,0.008540105819702215,5.484509563446045,5.422271108627319,0.062238454818725586,10.837677097320556,11.17422342300415,0.3365463256835941,0.10966103225946426,0.1108104407787323,0.0011494085192680359,0.13774546831846238,0.1331310786306858,0.004614389687776582,0.12433355376124382,0.12516846135258675,0.0008349075913429288,0.14599592238664627,0.14530692100524903,0.0006890013813972418
dgeom-r16-injwarm512-only,0,1,0,8,0.957,0.88,2080ti,1299,1271,0.7953797101974487,0.7880189836025238,0.007360726594924927,0.8907300889492035,0.8971076607704163,0.006377571821212791,6.25978455543518,6.414935684204101,0.1551511287689209,10.205696868896485,10.07853364944458,0.127163219451905,0.10960693508386612,0.1101866252720356,0.0005796901881694738,0.1414586767554283,0.1394644595682621,0.0019942171871662195,0.12409756630659104,0.12411032021045684,1.2753903865805882e-05,0.14648284018039703,0.14706312865018845,0.0005802884697914124
dgeom-r16-injwarm512-only,0,1,0,9,0.957,0.88,2080ti,1716,1682,0.7124795496463776,0.704093074798584,0.008386474847793646,0.8400783002376556,0.8388196766376496,0.001258623600006059,8.736192607879639,8.750708770751952,0.014516162872313387,7.496716451644898,7.480793237686157,0.015923213958740412,0.11003078520298004,0.11439939737319946,0.004368612170219416,0.14369450360536576,0.14986925721168518,0.006174753606319416,0.1259919971227646,0.12773124054074286,0.0017392434179782645,0.1478285536170006,0.1481795758008957,0.0003510221838951
