config,run_id,source,run_type,gpu,seed,data_seed,cb,rank,train_batch_size,gradient_accumulation_steps,effective_train_batch_size,configured_max_epochs,early_stopping_disabled,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,2,epoch_end,1.0,0,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.9578671875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,2,epoch_end,1.0,0,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.9998125
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,2,epoch_end,1.0,0,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.86960546875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,2,epoch_end,1.0,0,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.98753125
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,2,epoch_end,1.0,0,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,0.99975
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,2,epoch_end,1.0,0,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.9777109375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,2,epoch_end,1.0,0,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,0.999625
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.93232421875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99534375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.99309375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.98490625
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998541666666667
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.93232421875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.99534375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.99309375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.98159375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.98821875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.9996875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,64x4,valid/mqar_case/accuracy-64x4,1.0
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,mqar_case,64x8,valid/mqar_case/accuracy-64x8,0.999875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.98159375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.9996875
