-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                        aten::index_put         0.00%      13.869us         0.00%     147.313us      49.104us       0.000us         0.00%     290.014us      96.671us           0 b           0 b      48.00 Mb           0 b             3
autograd::engine::evaluate_function: IndexSelectBack...         0.00%      47.038us         0.00%     530.169us     106.034us       0.000us         0.00%     751.513us     150.303us           0 b           0 b      47.06 Mb     -85.13 Mb             5
                                           aten::linear         0.00%      71.309us         0.15%      18.724ms       2.675ms       0.000us         0.00%     293.533us      41.933us           0 b           0 b      43.16 Mb           0 b             7
                                           aten::matmul         0.12%      15.547ms         2.14%     275.406ms      33.598us       0.000us         0.00%      21.326ms       2.602us           0 b           0 b      39.52 Mb           0 b          8197
                                         IndexBackward0         0.00%     237.478us         0.28%      36.304ms       1.134ms       0.000us         0.00%       3.718ms     116.192us           0 b           0 b      33.20 Mb           0 b            32
                               aten::cross_entropy_loss         0.00%      13.919us         0.04%       4.777ms       4.777ms       0.000us         0.00%     153.823us     153.823us           0 b           0 b      32.00 Mb           0 b             1
                                      aten::log_softmax         0.00%       4.813us         0.00%     103.697us     103.697us       0.000us         0.00%     130.687us     130.687us           0 b           0 b      32.00 Mb           0 b             1
                                     aten::_log_softmax         0.00%      27.187us         0.00%      98.578us      98.578us     130.687us         0.00%     130.687us     130.687us           0 b           0 b      32.00 Mb      32.00 Mb             1
                                       NllLossBackward0         0.00%      29.371us         0.00%     196.712us     196.712us       0.000us         0.00%      75.166us      75.166us           0 b           0 b      32.00 Mb           0 b             1
                                aten::nll_loss_backward         0.00%      40.396us         0.00%     167.341us     167.341us      13.343us         0.00%      75.166us      75.166us           0 b           0 b      32.00 Mb      32.00 Mb             1
                                    LogSoftmaxBackward0         0.00%      11.229us         0.00%      68.661us      68.661us       0.000us         0.00%     239.934us     239.934us           0 b           0 b      32.00 Mb           0 b             1
                       aten::_log_softmax_backward_data         0.00%      12.243us         0.00%      57.432us      57.432us     239.934us         0.01%     239.934us     239.934us           0 b           0 b      32.00 Mb      32.00 Mb             1
autograd::engine::evaluate_function: NllLossBackward...         0.00%      42.146us         0.00%     238.858us     238.858us       0.000us         0.00%      75.166us      75.166us           0 b           0 b      32.00 Mb        -512 b             1
                            flashvqg/attn/phase2/reduce         0.00%     295.025us         0.02%       2.428ms       2.428ms       0.000us         0.00%     541.536us     541.536us           0 b           0 b      31.43 Mb      -3.02 Mb             1
                                            MvBackward0         0.28%      35.645ms         3.16%     405.659ms      66.025us       0.000us         0.00%      36.307ms       5.909us           0 b           0 b      27.00 Mb           0 b          6144
                                              aten::div         0.01%     886.884us         0.07%       8.485ms     134.679us     249.983us         0.01%     249.983us       3.968us           0 b           0 b      25.96 Mb      25.96 Mb            63
                       gd_residual/phase2_residual_read         0.00%     337.110us         0.01%       1.299ms       1.299ms       0.000us         0.00%     407.711us     407.711us           0 b           0 b      24.39 Mb      -2.02 Mb             1
