-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      93.970ms         2.18%      93.970ms       4.116us           0 b           0 b           0 b           0 b         22828
                                 gd_residual/event_pack         0.00%       0.000us         0.00%       0.000us       0.000us      84.894ms         1.97%      84.894ms      21.224ms           0 b           0 b           0 b           0 b             4
       autograd::engine::evaluate_function: MvBackward0         0.97%     124.135ms         5.29%     680.157ms     110.703us       0.000us         0.00%      62.793ms      10.220us           0 b           0 b     -27.38 Mb     -57.38 Mb          6144
                                           Buffer Flush         0.01%       1.247ms         0.01%       1.320ms      18.851us      54.359ms         1.26%      54.359ms     776.555us          -8 b          -8 b     142.00 Kb     141.50 Kb            70
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.192ms         1.21%      52.192ms       2.287us           0 b           0 b           0 b           0 b         22823
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      50.467ms         1.17%      50.467ms       8.194us           0 b           0 b           0 b           0 b          6159
                                               aten::mv         0.68%      86.930ms         3.36%     432.087ms      30.140us       0.000us         0.00%      39.919ms       2.785us           0 b           0 b       7.00 Mb           0 b         14336
                                           aten::addmv_         1.32%     169.358ms         2.06%     265.091ms      18.491us      39.919ms         0.93%      39.919ms       2.785us           0 b           0 b           0 b           0 b         14336
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      39.840ms         0.93%      39.840ms      39.840ms           0 b           0 b           0 b           0 b             1
                                            aten::outer         0.42%      53.718ms         3.13%     401.823ms      28.029us       0.000us         0.00%      38.248ms       2.668us           0 b           0 b      56.00 Mb           0 b         14336
                                            MvBackward0         0.28%      35.645ms         3.16%     405.659ms      66.025us       0.000us         0.00%      36.307ms       5.909us           0 b           0 b      27.00 Mb           0 b          6144
                                              aten::add         1.13%     145.038ms         1.80%     231.437ms      16.058us      29.916ms         0.70%      29.916ms       2.076us           0 b           0 b      58.29 Mb      58.29 Mb         14413
                                           aten::matmul         0.12%      15.547ms         2.14%     275.406ms      33.598us       0.000us         0.00%      21.326ms       2.602us           0 b           0 b      39.52 Mb           0 b          8197
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      21.052ms         0.49%      21.052ms       2.570us           0 b           0 b           0 b           0 b          8193
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      18.879ms         0.44%      18.879ms       3.072us           0 b           0 b           0 b           0 b          6145
                       flashvqg/attn/phase2/remote_path         0.00%       0.000us         0.00%       0.000us       0.000us      18.276ms         0.42%      18.276ms      18.276ms           0 b           0 b           0 b           0 b             1
                            layer_norm_gated_bwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.859ms         0.41%      17.859ms       7.853us           0 b           0 b           0 b           0 b          2274
                                              aten::ger         0.06%       7.226ms         1.24%     159.303ms      25.928us       0.000us         0.00%      17.435ms       2.838us           0 b           0 b      24.00 Mb           0 b          6144
