variant,runs,wall_clock_sec_mean,optimizer_step_wall_sec_p50_mean,peak_allocated_mib_max,peak_reserved_mib_max,step_time_ratio_vs_a0,peak_allocated_ratio_vs_a0
a0-off,3,1119.7420024952542,0.30536467240502435,2566.22998046875,3158.0,,
a1-post-phase1,3,1286.4894381311412,0.36186848146220046,1988.4287109375,2426.0,1.1850371511942008,0.7748443148397369
