variant,reference_machine,reference_1024x256_accuracy,candidate_machine,candidate_1024x256_accuracy,absolute_gap,gap_percentage_points,within_4pp
inj-warmup-linear704-r2,2080ti,0.921,3090,0.798,0.123,12.3,False
inj-warmup-linear1024-r2,2080ti,0.863,3090,0.666,0.19699999999999995,19.699999999999996,False
inj-warmup-silent32-linear704-r2,2080ti,0.909,3090,0.757,0.15200000000000002,15.200000000000003,False
