variant,variant_kind,description,completed_machines,completed_count,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_within_4pp,best_1024x256_2080ti,best_1024x256_3090,best_gap,best_gap_percentage_points,best_within_4pp,fox_remote_read_topk,fox_remote_read_topk_initial,fox_remote_read_topk_final,release_start,release_end,schedule,dense_read_chunked
fixed-r2,fixed,default-dropout fixed read_topk=2,"2080ti,3090",4,0.857,0.000244,0.856756,85.6756,False,0.857,0.000244,0.856756,85.6756,False,2,,,0,0,linear_int,False
fixed-r4,fixed,default-dropout fixed read_topk=4,2080ti,1,0.000244,,,,,0.000244,,,,,4,,,0,0,linear_int,False
fixed-r4-residual-zero,fixed,default-dropout fixed read_topk=4 with residual contribution zeroed,"2080ti,3090",2,0.01,0.0961,0.08610000000000001,8.610000000000001,False,0.01,0.0961,0.08610000000000001,8.610000000000001,False,4,,,0,0,linear_int,False
fixed-r4-dropout005,fixed,fixed read_topk=4 with embed_dropout=0.05,"2080ti,3090",2,0.872,0.841,0.031000000000000028,3.1000000000000028,True,0.872,0.841,0.031000000000000028,3.1000000000000028,True,4,,,0,0,linear_int,False
