experiment_id,machine,target,run_id,train_step,valid_batches,source_path,loss,gd_residual_read_candidate_retention_mean,gd_residual_read_candidate_churn_mean,gd_residual_read_candidate_top1_flip_rate,gd_residual_read_margin_top1_top2_mean,gd_residual_read_margin_top1_top2_p05,gd_residual_read_entropy_mean,gd_residual_read_selected_mass_mean,gd_residual_read_selected_mass_p05,gd_residual_lambda_mean,gd_residual_inject_ratio,gd_residual_m_norm_mean,gd_residual_m_norm_max,gd_residual_update_norm_mean,gd_residual_update_norm_p95,gd_residual_update_norm_max,gd_residual_write_strength_mean,gd_residual_write_strength_p95,gd_residual_write_strength_max,gd_residual_sum_zeta_mean,gd_residual_sum_zeta_p95,gd_residual_sum_zeta_max,gd_residual_raw_topk_mass_mean,gd_residual_raw_topk_mass_p05,gd_residual_write_top1_mass_mean,gd_residual_write_q_entropy_mean,gd_residual_write_q_top1_mean,layer_1/attn/gd_residual_inject_ratio,layer_1/attn/gd_residual_lambda_mean,layer_1/attn/gd_residual_m_norm_max,layer_1/attn/gd_residual_m_norm_mean,layer_1/attn/gd_residual_read_candidate_churn_mean,layer_1/attn/gd_residual_read_candidate_has_prev,layer_1/attn/gd_residual_read_candidate_probe_count,layer_1/attn/gd_residual_read_candidate_retention_mean,layer_1/attn/gd_residual_read_candidate_top1_flip_rate,layer_1/attn/gd_residual_read_entropy_mean,layer_1/attn/gd_residual_read_margin_top1_top2_mean,layer_1/attn/gd_residual_read_margin_top1_top2_p05,layer_1/attn/gd_residual_read_selected_mass_mean,layer_1/attn/gd_residual_read_selected_mass_p05,layer_1/attn/gd_residual_update_norm_cap_active,layer_1/attn/gd_residual_update_norm_cap_hit_ratio,layer_1/attn/gd_residual_update_norm_effective_cap,layer_1/attn/gd_residual_update_norm_max,layer_1/attn/gd_residual_update_norm_mean,layer_1/attn/gd_residual_update_norm_p95
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-probe-2080ti-gpu1,0,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/probe-2080ti-gpu1/early_window_metrics.jsonl,9.038751602172852,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.023108458146452904,0.0,0.05000000819563866,0.14336538314819336,0.06290135532617569,0.29540905356407166,0.08179070055484772,0.11187998205423355,0.204389289021492,0.125,0.16616804897785187,0.2910999357700348,0.5,0.5,0.5000000596046448,0.14608624577522278,0.12225420027971268,0.30616942048072815,1.3719041347503662,0.30616942048072815,0.14336538314819336,0.05000000819563866,0.29540905356407166,0.06290135532617569,0.0,0.0,8192.0,0.0,0.0,3.4502551555633545,0.3420845866203308,0.0,0.023108458146452904,0.0,0.0,0.0,0.0,0.204389289021492,0.08179070055484772,0.11187998205423355
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-probe-2080ti-gpu1,0,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/probe-2080ti-gpu1/early_window_metrics.jsonl,9.038751602172852,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.023108458146452904,0.0,0.05000000819563866,0.14336538314819336,0.06290135532617569,0.29540905356407166,0.08179070055484772,0.11187998205423355,0.204389289021492,0.125,0.16616804897785187,0.2910999357700348,0.5,0.5,0.5000000596046448,0.14608624577522278,0.12225420027971268,0.30616942048072815,1.3719041347503662,0.30616942048072815,0.14336538314819336,0.05000000819563866,0.29540905356407166,0.06290135532617569,0.0,0.0,8192.0,0.0,0.0,3.4502551555633545,0.3420845866203308,0.0,0.023108458146452904,0.0,0.0,0.0,0.0,0.204389289021492,0.08179070055484772,0.11187998205423355
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-probe-2080ti-gpu1,16,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/probe-2080ti-gpu1/early_window_metrics.jsonl,9.036155700683594,0.469482421875,0.530517578125,0.5938720703125,0.37289226055145264,0.0,3.3613760471343994,0.03298119083046913,0.0,0.0505773089826107,0.1689431071281433,0.046117983758449554,0.4126177132129669,0.08195923268795013,0.12170963734388351,0.23767544329166412,0.12489835917949677,0.18232396245002747,0.31658580899238586,0.49959343671798706,0.5216208696365356,0.5518988966941833,0.20092059671878815,0.15977558493614197,0.32784903049468994,1.3594609498977661,0.32784903049468994,0.1689431071281433,0.0505773089826107,0.4126177132129669,0.046117983758449554,0.530517578125,1.0,8192.0,0.469482421875,0.5938720703125,3.3613760471343994,0.37289226055145264,0.0,0.03298119083046913,0.0,0.0,0.0,0.0,0.23767544329166412,0.08195923268795013,0.12170963734388351
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-probe-2080ti-gpu1,64,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/probe-2080ti-gpu1/early_window_metrics.jsonl,8.70534896850586,0.43212890625,0.56787109375,0.640380859375,0.3615139126777649,0.0,3.465704917907715,0.15529346466064453,0.0,0.008460227400064468,0.004881367087364197,0.009902996942400932,1.337436318397522,0.024451659992337227,0.11996974796056747,0.41496679186820984,0.0396975539624691,0.19156384468078613,0.36927440762519836,0.1587902307510376,0.2652274966239929,0.4149038791656494,0.5834860801696777,0.5747667551040649,0.8746011257171631,0.5125916004180908,0.8746011257171631,0.004881367087364197,0.008460227400064468,1.337436318397522,0.009902996942400932,0.56787109375,1.0,8192.0,0.43212890625,0.640380859375,3.465704917907715,0.3615139126777649,0.0,0.15529346466064453,0.0,0.0,0.0,0.0,0.41496679186820984,0.024451659992337227,0.11996974796056747
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-probe-2080ti-gpu1,128,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/probe-2080ti-gpu1/early_window_metrics.jsonl,8.460676193237305,0.2440185546875,0.7559814453125,0.889404296875,1.0787596702575684,0.0,2.280801296234131,0.41599202156066895,0.0,0.0027935176622122526,0.03389310464262962,0.01034143753349781,0.970659613609314,0.00994291715323925,0.06480982899665833,0.4884059727191925,0.017064783722162247,0.11106958240270615,0.6761828064918518,0.06825914233922958,0.19900931417942047,0.7261852025985718,0.7672664523124695,0.7632274031639099,0.9287533164024353,0.33349525928497314,0.9287533164024353,0.03389310464262962,0.0027935176622122526,0.970659613609314,0.01034143753349781,0.7559814453125,1.0,8192.0,0.2440185546875,0.889404296875,2.280801296234131,1.0787596702575684,0.0,0.41599202156066895,0.0,0.0,0.0,0.0,0.4884059727191925,0.00994291715323925,0.06480982899665833
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-repeat-r2-2080ti-gpu0,0,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/repeat-r2-2080ti-gpu0/early_window_metrics.jsonl,9.038751602172852,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.023108458146452904,0.0,0.05000000819563866,0.14336538314819336,0.06290135532617569,0.29540905356407166,0.08179070055484772,0.11187998205423355,0.204389289021492,0.125,0.16616804897785187,0.2910999357700348,0.5,0.5,0.5000000596046448,0.14608624577522278,0.12225420027971268,0.30616942048072815,1.3719041347503662,0.30616942048072815,0.14336538314819336,0.05000000819563866,0.29540905356407166,0.06290135532617569,0.0,0.0,8192.0,0.0,0.0,3.4502551555633545,0.3420845866203308,0.0,0.023108458146452904,0.0,0.0,0.0,0.0,0.204389289021492,0.08179070055484772,0.11187998205423355
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-repeat-r2-2080ti-gpu0,16,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/repeat-r2-2080ti-gpu0/early_window_metrics.jsonl,9.036154747009277,0.469482421875,0.530517578125,0.5938720703125,0.37289226055145264,0.0,3.3613760471343994,0.03298119083046913,0.0,0.050577305257320404,0.1689431071281433,0.04611798748373985,0.4126177132129669,0.08195923268795013,0.12170965224504471,0.23767541348934174,0.12489835917949677,0.18232391774654388,0.3165857791900635,0.4995934069156647,0.5216209292411804,0.5518988966941833,0.20092059671878815,0.15977557003498077,0.32784903049468994,1.3594610691070557,0.32784903049468994,0.1689431071281433,0.050577305257320404,0.4126177132129669,0.04611798748373985,0.530517578125,1.0,8192.0,0.469482421875,0.5938720703125,3.3613760471343994,0.37289226055145264,0.0,0.03298119083046913,0.0,0.0,0.0,0.0,0.23767541348934174,0.08195923268795013,0.12170965224504471
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-repeat-r2-2080ti-gpu0,64,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/repeat-r2-2080ti-gpu0/early_window_metrics.jsonl,8.70534896850586,0.43212890625,0.56787109375,0.640380859375,0.3615139126777649,0.0,3.465704917907715,0.15529346466064453,0.0,0.008460227400064468,0.004881367087364197,0.009902996942400932,1.337436318397522,0.024451658129692078,0.11996972560882568,0.4149668216705322,0.0396975539624691,0.19156382977962494,0.36927443742752075,0.1587902307510376,0.2652274966239929,0.4149039685726166,0.5834860801696777,0.5747666954994202,0.8746011257171631,0.5125916004180908,0.8746011257171631,0.004881367087364197,0.008460227400064468,1.337436318397522,0.009902996942400932,0.56787109375,1.0,8192.0,0.43212890625,0.640380859375,3.465704917907715,0.3615139126777649,0.0,0.15529346466064453,0.0,0.0,0.0,0.0,0.4149668216705322,0.024451658129692078,0.11996972560882568
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r2,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r2-s124-d123-b64ga4-2080ti-repeat-r2-2080ti-gpu0,128,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r2/repeat-r2-2080ti-gpu0/early_window_metrics.jsonl,8.460675239562988,0.2440185546875,0.7559814453125,0.889404296875,1.0787558555603027,0.0,2.2808055877685547,0.4159907102584839,0.0,0.002793525578454137,0.03389323130249977,0.010341456159949303,0.9706621170043945,0.009943002834916115,0.06481031328439713,0.4884038269519806,0.017064932733774185,0.11107110232114792,0.6761820316314697,0.06825973093509674,0.19901074469089508,0.7261843681335449,0.7672664523124695,0.7632274031639099,0.9287532567977905,0.33349528908729553,0.9287532567977905,0.03389323130249977,0.002793525578454137,0.9706621170043945,0.010341456159949303,0.7559814453125,1.0,8192.0,0.2440185546875,0.889404296875,2.2808055877685547,1.0787558555603027,0.0,0.4159907102584839,0.0,0.0,0.0,0.0,0.4884038269519806,0.009943002834916115,0.06481031328439713
20260701-01-flash-vqg-default-dropout-r2-r4-overnight,2080ti,fixed-r4,20260701-01-flash-vqg-default-dropout-r2-r4-overnight-fixed-r4-s124-d123-b64ga4-2080ti-fixed-r4-default-2080ti-gpu1,0,[441],/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/traces/2080ti/fixed-r4/fixed-r4-default-2080ti-gpu1/early_window_metrics.jsonl,9.038745880126953,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.03672531247138977,0.0,0.05000000819563866,0.1883331835269928,0.06290135532617569,0.29540905356407166,0.08179070055484772,0.11187998205423355,0.204389289021492,0.125,0.16616804897785187,0.2910999357700348,0.5,0.5,0.5000000596046448,0.14608624577522278,0.12225420027971268,0.30616942048072815,1.3719041347503662,0.30616942048072815,0.1883331835269928,0.05000000819563866,0.29540905356407166,0.06290135532617569,0.0,0.0,8192.0,0.0,0.0,3.4502551555633545,0.3420845866203308,0.0,0.03672531247138977,0.0,0.0,0.0,0.0,0.204389289021492,0.08179070055484772,0.11187998205423355
