left,right,checkpoint_role,n_seeds,delta_endpoint_1024x256_mean,delta_endpoint_1024x256_population_sd,delta_endpoint_1024x256_positive_seeds,delta_endpoint_1024x256_worst,delta_extrapolation_macro_mean,delta_extrapolation_macro_population_sd,delta_extrapolation_macro_positive_seeds,delta_extrapolation_macro_worst,delta_standard_macro_mean,delta_standard_macro_population_sd,delta_standard_macro_positive_seeds,delta_standard_macro_worst,delta_longer_endpoint_1024x256_mean,delta_longer_endpoint_1024x256_population_sd,delta_longer_endpoint_1024x256_positive_seeds,delta_longer_endpoint_1024x256_worst,delta_extrapolation_retention_mean,delta_extrapolation_retention_population_sd,delta_extrapolation_retention_positive_seeds,delta_extrapolation_retention_worst,delta_accuracy_2048x512-n500_mean,delta_accuracy_2048x512-n500_population_sd,delta_accuracy_2048x512-n500_positive_seeds,delta_accuracy_2048x512-n500_worst,delta_accuracy_4096x1024-n500_mean,delta_accuracy_4096x1024-n500_population_sd,delta_accuracy_4096x1024-n500_positive_seeds,delta_accuracy_4096x1024-n500_worst,delta_accuracy_8190x512-n500_mean,delta_accuracy_8190x512-n500_population_sd,delta_accuracy_8190x512-n500_positive_seeds,delta_accuracy_8190x512-n500_worst,delta_accuracy_8190x2047-n500_mean,delta_accuracy_8190x2047-n500_population_sd,delta_accuracy_8190x2047-n500_positive_seeds,delta_accuracy_8190x2047-n500_worst
flash-canonical,gdn,best,3,-0.0013229166666666552,0.007925522519016402,2,-0.01248828125000001,0.38446082422236216,0.037028692155839094,3,0.332730964067101,-0.0021787109374999947,0.0011609176723041729,0,-0.0037309570312500373,-0.0015520833333333428,0.008158191253391265,2,-0.013000000000000012,0.39764479783669665,0.03347262892349423,3,0.35079809612440344,0.37201822916666666,0.026836063411984246,3,0.33406640625,0.4892845052083333,0.046030490702950226,3,0.42513085937499995,0.4354609375,0.04109341927940425,3,0.37766406250000006,0.24107962501444855,0.035014413396025054,3,0.19406252814340405
flash-canonical,gdn,last,3,-0.19123567708333333,0.014812877136952065,0,-0.20962500000000006,-0.13014752789677975,0.0036193688583149182,0,-0.13525478597718757,-0.025341308593749983,0.0018589450114603738,0,-0.027698242187499944,-0.18922916666666664,0.01495305334215965,0,-0.20820312499999993,-0.11354540654327895,0.002912820332125534,0,-0.11766144853760338,-0.27583593749999996,0.01007837077784933,0,-0.289359375,-0.062037760416666664,0.0012489592564112525,0,-0.0629921875,-0.17950130208333334,0.00434861876481203,0,-0.18546093749999998,-0.003215111587118978,9.750943592931759e-05,0,-0.003338544247439131
flash-fastest,flash-canonical,best,3,-0.029695312500000015,0.044161235508981087,1,-0.09195312500000008,-0.08946241744607686,0.1160406759128856,1,-0.2501140289977193,-0.005337565104166682,0.008277142210875084,1,-0.016990234375000024,-0.029729166666666623,0.04473745856785168,1,-0.0928203125,-0.07905050051888303,0.09878171501177652,1,-0.21507386704667697,-0.08223958333333332,0.1166503403493479,1,-0.24634374999999997,-0.11193945312500002,0.14529171123381798,1,-0.31401171875000006,-0.09554166666666664,0.11856868715106353,1,-0.25596093749999993,-0.06812896665930748,0.08492338001677288,1,-0.18413970974087718
flash-fastest,flash-canonical,last,3,-0.015701822916666663,0.016349390039398205,1,-0.035960937499999956,-0.00042959932152492514,0.0035117416612122847,1,-0.004510495780676138,-0.0025011393229166603,0.0022227723937332175,1,-0.005390624999999982,-0.01705208333333334,0.015628255303257153,1,-0.036195312500000076,0.0019204000220303479,0.0038758793657028326,2,-0.003542326025564979,0.00034244791666667346,0.008849357609444108,1,-0.00948828124999998,0.001041015625,0.0018192063710517463,2,-0.0013964843750000015,-0.0031575520833333343,0.004250097335997306,1,-0.007175781250000013,5.569125556697448e-05,5.5996103064744914e-05,3,1.3678553747013236e-05
flash-fastest,gdn,best,3,-0.03101822916666667,0.04071736249481382,1,-0.08684375,0.29499840677628525,0.10446512362488106,3,0.16726170689059655,-0.007516276041666677,0.007524367297340304,0,-0.017929687500000013,-0.03128124999999996,0.04089022397427861,1,-0.08740625000000002,0.31859429731781364,0.08985821517909375,3,0.21188200060892934,0.28977864583333335,0.10854029683074246,3,0.14457421875000004,0.3773450520833333,0.1291406266968569,3,0.216912109375,0.33991927083333334,0.11208468824510696,3,0.21365625000000005,0.17295065835514103,0.07192725464533323,3,0.09390424943738616
flash-fastest,gdn,last,3,-0.2069375,0.0016875482246195065,0,-0.2093124999999999,-0.13057712721830467,0.001792405019669529,0,-0.13239881368196801,-0.02784244791666664,0.0005207293597391343,0,-0.028544921875000018,-0.20628124999999997,0.0012207015624990463,0,-0.20785156250000003,-0.11162500652124861,0.0033764077778047803,0,-0.11517265266648742,-0.27549348958333336,0.006603266802110338,0,-0.2824609375,-0.06099674479166667,0.0007984759967412693,0,-0.061669921875,-0.18265885416666663,0.0002009684533140225,0,-0.18285546875,-0.003159420331552004,5.52140177725865e-05,0,-0.00320371278678067
