source_type,machine,run_tag_or_id,source_path,zoology_commit,flash_commit,file_count,bytes,aggregate_sha256,mirrored,notes
raw,mclab-3090,20260801-fastest-gdn-mqar-01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260801-01-fastest-flash-vs-gdn-mqar/outputs/3090/20260801-fastest-gdn-mqar-01,00a19f291109d0dd1e50326d3005d8f8c8f4c8a7,396ae65b89b53aad316fbbf7daf55a92a551d684,1712,119750061,890e41edeacbeafe703ff4b6b559630aaf0d771931a8e770e1ec48bd508f7911,True,checkpoint excluded
generated-config,mclab-3090,20260801-fastest-gdn-mqar-01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/20260801-01-fastest-flash-vs-gdn-mqar-20260801-fastest-gdn-mqar-01,00a19f291109d0dd1e50326d3005d8f8c8f4c8a7,396ae65b89b53aad316fbbf7daf55a92a551d684,15,200221,5c2a81636c384731104eaa99fb310d674d18c0441c4257351a2c169c73e8d382,True,resolved configs
checkpoint,mclab-3090,20260801-fastest-gdn-mqar-01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260801-01-fastest-flash-vs-gdn-mqar/outputs/3090/20260801-fastest-gdn-mqar-01/checkpoints,00a19f291109d0dd1e50326d3005d8f8c8f4c8a7,396ae65b89b53aad316fbbf7daf55a92a551d684,60,492743822,,False,"best, last, resume and init-copy tensors remain on source"
