arm,seed,phase,wall_clock_sec,optimizer_step_wall_sec_p50,peak_allocated_mib,peak_reserved_mib,optimizer_step,fallbacks,fla_bwd_config,model_state_sha256,optimizer_state_sha256
flash-fastest,123,formal,550.7654630374163,0.1550897490233183,1456.642578125,2134.0,2816,0,"{""kwargs"": {""BT"": 64}, ""num_stages"": 2, ""num_warps"": 8}",e299ef1d573c11bd282a1dde741418f18b9097ebed72c2b15b414dfd5f8db867,914eaf614324a54868ddbadb5caf700cff82ae2c7cfff3cd7ac023edad7030c7
flash-canonical,123,formal,826.5672994609922,0.22824414540082216,1456.642578125,2196.0,2816,0,"{""kwargs"": {""BT"": 64}, ""num_stages"": 2, ""num_warps"": 4}",96b5bdcf4e2ff8e86d7b07b8287cd51876d09cb2bff7748a337369738a9603ab,4199982c3a893ae81860deb0382e329c39a722eb6557e7a0fe4d3c9377a1632f
gdn,123,formal,236.3196343416348,0.05445977579802275,1535.73974609375,2108.0,2816,0,null,4c10d9e479c015089d8ee2a807cd4fca3accaf6b6bfcb8a3e4eb5fa57a780076,8d506ed9981373b0817444d29c76a5c8ce88dc4541cea817dcf56bda79d1c416
flash-fastest,124,formal,557.3829132113606,0.1566524114459753,1456.642578125,2134.0,2816,0,"{""kwargs"": {""BT"": 64}, ""num_stages"": 2, ""num_warps"": 4}",bd35c84f34908f157cee4dde2349001f858989d18fdf2e4cecccc297e30c86a1,02650347a7853a7080aeedb31e57d4e6a8cbbac96b9ba0483608c162eb240c8b
flash-canonical,124,formal,831.6853248560801,0.2287242440506816,1456.642578125,2196.0,2816,0,"{""kwargs"": {""BT"": 64}, ""num_stages"": 2, ""num_warps"": 8}",cf0d0abd2ce57fb2b94ad5b18c73a47d2b707f93855d8ad6f59095605e69a9ee,8a792627b0409f5494b2a042ac7aa970fc00d7356f8dcb55de135d1f8bf22fb2
gdn,124,formal,236.9253149367869,0.05460925027728081,1535.73974609375,2108.0,2816,0,null,4f6d90be61ec61d108657be958a5db29f5ca2f2fa139076086e654b8fd6fd7a0,407312434aaa84e60d7f8711379c2e717e72bfdf8a26506db6c23960420e0cd4
flash-fastest,125,formal,555.4419493647292,0.15575545653700829,1456.642578125,2134.0,2816,0,"{""kwargs"": {""BT"": 64}, ""num_stages"": 2, ""num_warps"": 4}",ee84a7b2fcf720020b74a719cd3b6a816d6202d81e1a9429bced0e142fe48bf4,1bc11470d967040722f2bec2f7949e33eb67aaeeec9145a5036aa0f263c95014
flash-canonical,125,formal,832.4274834468961,0.2300955206155777,1456.642578125,2194.0,2816,0,"{""kwargs"": {""BT"": 16}, ""num_stages"": 2, ""num_warps"": 4}",402b54b2b7b25087b78016f6408171abe34d9734cf7ec6df35d2f48bfbcc307d,e029555a124dc8b9f31c4f8df17d7af38c79c4fc7905ea49f6e4987b02022adf
gdn,125,formal,236.81685930117965,0.05431892443448305,1535.73974609375,2108.0,2816,0,null,15b540f397a0774ac0f9b4a6d97256c2a927d9221c75276e6dec96a105e18b39,b9bccf47687864da7b6f8727ba038a1a4f8c42919cf9047b7f1f03df641b4f75
