machine,status,device,torch_version,wall_clock_sec,output_dir
2080ti,passed,NVIDIA GeForce RTX 2080 Ti,2.6.0+cu118,6.189654,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260624-02-flash-vqg-pressure-telemetry-guard/outputs/config-runtime-smoke-20260623T192042Z
3090,passed,NVIDIA GeForce RTX 3090,2.6.0+cu118,5.397269,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260624-02-flash-vqg-pressure-telemetry-guard/outputs/config-runtime-smoke-20260623T192404Z
