experiment_id,machine,queue,target,variant,gpu,status,started_at,finished_at,duration_seconds,duration_minutes,run_id,launch_id,embed_dropout,resid_dropout,drop_path,final_valid_loss,final_valid_accuracy,final_1024x256_accuracy,n_validation_summaries,log_path,log_sha256,result_json,result_sha256,config_json,config_sha256,zoology_commit,flash_vqg_commit
20260628-01-flash-vqg-stability-ablation,2080ti,2080ti-gpu0,no-embed-dropout-s123-r1,no-embed-dropout,0,completed,2026-06-28T00:26:21+08:00,2026-06-28T01:51:21+08:00,5100.0,85.0,20260628-01-flash-vqg-stability-ablation-no-embed-dropout-s123-r1-d123-b64ga4-2080ti,fvqg-20260628-01-flash-vqg-stability-ablation-2080ti-no-embed-dropout-s123-r1,0.0,0.0,0.0,0.672,0.917,0.606,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/2080ti-gpu0-20260627T162607Z/logs/no-embed-dropout-s123-r1.log,78a5c1964542e85e05c606f6da9c98fd5483a989b801f8557a048327015235c8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/2080ti-gpu0-20260627T162607Z/results/no-embed-dropout-s123-r1.json,61eb100b65ac223b0e4ef71eff2dbb64cbbe5057fb4b68e98c17375cad8c1ee0,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/2080ti-gpu0-20260627T162607Z/configs/no-embed-dropout-s123-r1.json,e0c446d589ff75aee3d65b141cadbce007bc14868a7fc9df4c277d0d9b6d49fc,f41acb0,1e7ed33
20260628-01-flash-vqg-stability-ablation,3090,3090-gpu0,no-embed-dropout-s123-r1,no-embed-dropout,0,completed,2026-06-27T16:22:31+00:00,2026-06-27T17:27:31+00:00,3900.0,65.0,20260628-01-flash-vqg-stability-ablation-no-embed-dropout-s123-r1-d123-b64ga4-3090,fvqg-20260628-01-flash-vqg-stability-ablation-3090-no-embed-dropout-s123-r1,0.0,0.0,0.0,0.665,0.919,0.62,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/3090-gpu0-20260627T162219Z/logs/no-embed-dropout-s123-r1.log,7bcd5c3cfd30f2b75069be5bb7461c4505d51c419f65743f07647c36dfc9ca37,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/3090-gpu0-20260627T162219Z/results/no-embed-dropout-s123-r1.json,8067f9922baeff2ccfdd24bd09d9a811e75ed81da827a13017826eeb6ddc0679,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/3090-gpu0-20260627T162219Z/configs/no-embed-dropout-s123-r1.json,78047fd252af2797aa0ed3824ef3f1698c1181a6acc74d15996282386f37a83f,f41acb0,1e7ed33
20260628-01-flash-vqg-stability-ablation,3090,3090-gpu0,no-embed-dropout-s123-r2,no-embed-dropout,0,completed,2026-06-27T17:27:31+00:00,2026-06-27T18:32:31+00:00,3900.0,65.0,20260628-01-flash-vqg-stability-ablation-no-embed-dropout-s123-r2-d123-b64ga4-3090,fvqg-20260628-01-flash-vqg-stability-ablation-3090-no-embed-dropout-s123-r2,0.0,0.0,0.0,0.655,0.92,0.626,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/3090-gpu0-20260627T162219Z/logs/no-embed-dropout-s123-r2.log,7d0849880978bca06236059b914e257e190fd5c09a294107567d6eff96301cb3,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/3090-gpu0-20260627T162219Z/results/no-embed-dropout-s123-r2.json,18626a1125f43b52ddcdea945707d55f52d96190ae0bf71eef683cf495932877,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-01-flash-vqg-stability-ablation/outputs/3090-gpu0-20260627T162219Z/configs/no-embed-dropout-s123-r2.json,06165c8c52b448534399329b55b9c85b1ec365ac66664949454de48617dddbfa,f41acb0,1e7ed33
