experiment_id,seed,cache_scope,mean_2080ti,mean_3090,mean_delta_3090_minus_2080ti,gap_2080ti,gap_3090,std_2080ti,std_3090,stable_2080ti,stable_3090
20260626-01-flash-vqg-cache-sync-rerun,123,2080ti_canonical,0.941750,0.775500,-0.166250,0.015000,0.373000,0.006057,0.141779,true,false
20260626-01-flash-vqg-cache-sync-rerun,124,2080ti_canonical,0.805250,0.815250,0.010000,0.155000,0.161000,0.058768,0.064348,false,false
