experiment_id,machine,cache_scope,seed,n,mean_1024x256_accuracy,min_1024x256_accuracy,max_1024x256_accuracy,repeat_gap,std_1024x256_accuracy,r1_1024x256_accuracy,r2_1024x256_accuracy,r3_1024x256_accuracy,r4_1024x256_accuracy,stable_gap_le_0_05
20260626-01-flash-vqg-cache-sync-rerun,2080ti,2080ti_canonical,123,4,0.941750,0.935000,0.950000,0.015000,0.006057,0.935,0.937,0.945,0.95,true
20260626-01-flash-vqg-cache-sync-rerun,2080ti,2080ti_canonical,124,4,0.805250,0.716000,0.871000,0.155000,0.058768,0.842,0.716,0.792,0.871,false
20260626-01-flash-vqg-cache-sync-rerun,3090,2080ti_canonical,123,4,0.775500,0.554000,0.927000,0.373000,0.141779,0.865,0.554,0.927,0.756,false
20260626-01-flash-vqg-cache-sync-rerun,3090,2080ti_canonical,124,4,0.815250,0.710000,0.871000,0.161000,0.064348,0.71,0.871,0.864,0.816,false
