config_group,source_model_family,n_checkpoints,seeds,source_trainable_params,source_dynamic_capacity_total,source_batch_accum_profile,accuracy_mean_1024x256,accuracy_std_1024x256,accuracy_mean_2048x512,accuracy_std_2048x512,accuracy_mean_4096x1024,accuracy_std_4096x1024,accuracy_mean_8190x512,accuracy_std_8190x512,accuracy_mean_8190x2047,accuracy_std_8190x2047
gdn-banked-k-h2-b4-k256-v64-sharedv,gdn,4,123;124;125;126,1643992.0,131072,b64_ga4,0.8445761719,0.1536089408,0.3357783203,0.2401611754,0.0326303711,0.0296764384,0.2018291016,0.1346594340,0.0011211529,0.0007389819
gdnxk-h4-ek8-ev4,gdn,1,123,1471500,131072,b64_ga4,0.9569453125,,0.4105000000,,0.0537597656,,0.2548046875,,0.0025256473,
