smoke_id,official_prereq,device,summary_status,case_id,case_status,wall_clock_sec,train_forward_count,runtime_passed,generated_config_passed,metric_checks,error,summary_path,cases_path
config-runtime-smoke-20260621T184307Z,no,cuda,passed,readk2-baseline,passed,5.604089260101318,1,True,True,[],,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/cases.jsonl
config-runtime-smoke-20260621T184307Z,no,cuda,passed,readk4,passed,0.05641007423400879,1,True,True,[],,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/cases.jsonl
config-runtime-smoke-20260621T184307Z,no,cuda,passed,write-cap-004,passed,0.055501461029052734,1,True,True,[],,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/cases.jsonl
config-runtime-smoke-20260621T184307Z,no,cuda,passed,bounded-beta-orthogonal-addr,passed,0.057306766510009766,1,True,True,[],,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184307Z/cases.jsonl
config-runtime-smoke-20260621T194050Z,no,cpu,failed,readk2-baseline,failed,3.6225857734680176,,,,[],ValueError('Pointer argument (at 0) cannot be accessed from Triton (cpu tensor?)'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/cases.jsonl
config-runtime-smoke-20260621T194050Z,no,cpu,failed,readk4,failed,0.012311935424804688,,,,[],ValueError('Pointer argument (at 0) cannot be accessed from Triton (cpu tensor?)'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/cases.jsonl
config-runtime-smoke-20260621T194050Z,no,cpu,failed,readk4-to-readk2-schedule,failed,0.013566970825195312,,,,[],ValueError('Pointer argument (at 0) cannot be accessed from Triton (cpu tensor?)'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/cases.jsonl
config-runtime-smoke-20260621T194050Z,no,cpu,failed,write-cap-004,failed,0.013283729553222656,,,,[],ValueError('Pointer argument (at 0) cannot be accessed from Triton (cpu tensor?)'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/cases.jsonl
config-runtime-smoke-20260621T194050Z,no,cpu,failed,bounded-beta-orthogonal-addr,failed,0.014831304550170898,,,,[],ValueError('Pointer argument (at 0) cannot be accessed from Triton (cpu tensor?)'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194050Z/cases.jsonl
config-runtime-smoke-20260621T194116Z,yes,cuda,passed,readk2-baseline,passed,5.71077823638916,1,True,True,"[{""actual"": 2.0, ""expected"": 2.0, ""key"": ""attn/gd_residual_remote_read_topk_effective"", ""passed"": true}]",,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/cases.jsonl
config-runtime-smoke-20260621T194116Z,yes,cuda,passed,readk4,passed,0.059449195861816406,1,True,True,"[{""actual"": 4.0, ""expected"": 4.0, ""key"": ""attn/gd_residual_remote_read_topk_effective"", ""passed"": true}]",,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/cases.jsonl
config-runtime-smoke-20260621T194116Z,yes,cuda,passed,readk4-to-readk2-schedule,passed,0.05802583694458008,1,True,True,"[{""actual"": 4.0, ""expected"": 4.0, ""key"": ""attn/gd_residual_remote_read_topk_effective"", ""passed"": true}]",,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/cases.jsonl
config-runtime-smoke-20260621T194116Z,yes,cuda,passed,write-cap-004,passed,0.05775046348571777,1,True,True,"[{""actual"": 2.0, ""expected"": 2.0, ""key"": ""attn/gd_residual_remote_read_topk_effective"", ""passed"": true}]",,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/cases.jsonl
config-runtime-smoke-20260621T194116Z,yes,cuda,passed,bounded-beta-orthogonal-addr,passed,0.05922698974609375,1,True,True,"[{""actual"": 2.0, ""expected"": 2.0, ""key"": ""attn/gd_residual_remote_read_topk_effective"", ""passed"": true}]",,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T194116Z/cases.jsonl
