machine,queue,completed,expected,queue_status,output_root
2080ti,support-2080ti-gpu1,8,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/queue-status.tsv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal
3090,support-3090-gpu0,8,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal/queue-status.tsv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal
