training_seed,support_variant,target,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,best_1024x256_2080ti,best_1024x256_3090,final_accuracy_2080ti,final_accuracy_3090,loss_2080ti,loss_3090,update_norm_p95_2080ti,update_norm_p95_3090,update_norm_max_2080ti,update_norm_max_3090,m_norm_max_2080ti,m_norm_max_3090,lambda_mean_2080ti,lambda_mean_3090,inject_ratio_2080ti,inject_ratio_3090,passes_screen
125,baseline-r16-joint,s125-baseline-r16-joint,True,0.929,0.953,0.02399999999999991,2.399999999999991,0.929,0.953,0.986,0.991,0.201,0.159,0.247,0.0126,1.82,0.103,7.42,0.845,0.33,0.443,0.222,0.229,True
125,read-gate-r16,s125-read-gate-r16,True,0.916,0.957,0.040999999999999925,4.0999999999999925,0.916,0.957,0.984,0.991,0.243,0.158,2.78,0.0132,14.3,0.158,14.7,1.39,0.471,0.832,0.179,0.267,False
125,read-softmargin-r16,s125-read-softmargin-r16,True,0.916,0.934,0.018000000000000016,1.8000000000000016,0.916,0.934,0.984,0.987,0.22,0.187,0.742,0.0391,5.66,0.133,11.5,1.02,0.286,0.26,0.186,0.224,True
125,read-gate-softmargin-r16,s125-read-gate-softmargin-r16,True,0.939,0.745,0.19399999999999995,19.399999999999995,0.939,0.745,0.987,0.946,0.205,0.696,0.348,0.346,3.28,1.59,3.31,3.45,0.429,0.38,0.145,0.251,False
124,baseline-r16-joint,s124-baseline-r16-joint,True,0.902,0.939,0.03699999999999992,3.699999999999992,0.902,0.939,0.982,0.988,0.23,0.186,0.0605,0.0603,0.202,0.555,1.16,5.97,0.354,0.872,0.263,0.204,True
124,read-gate-r16,s124-read-gate-r16,True,0.962,0.919,0.04299999999999993,4.299999999999993,0.962,0.919,0.992,0.984,0.164,0.219,0.0176,0.219,0.168,3.8,1.61,7.07,0.608,0.776,0.239,0.224,False
124,read-softmargin-r16,s124-read-softmargin-r16,True,0.546,0.943,0.3969999999999999,39.69999999999999,0.546,0.943,0.894,0.989,1.08,0.184,0.529,0.0242,3.14,0.346,5.56,3.16,0.271,0.876,0.166,0.276,False
124,read-gate-softmargin-r16,s124-read-gate-softmargin-r16,True,0.951,0.949,0.0020000000000000018,0.20000000000000018,0.951,0.949,0.99,0.99,0.189,0.179,0.0597,0.0786,0.768,1.61,5.17,7.2,0.398,0.836,0.182,0.259,True
