machine,kind,path,sha256,expected_sha256,match_expected,target
2080ti,init_checkpoint,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-03-flash-vqg-s124-fixed-r4-4ep-confirm/outputs/canonical-init/cb64r16-s124-init.pt,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-baseline-r16-joint
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-read-gate-r16
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-read-gate-softmargin-r16
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-read-softmargin-r16
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-baseline-r16-joint
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-read-gate-r16
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-read-gate-softmargin-r16
2080ti,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-read-softmargin-r16
3090,init_checkpoint,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-03-flash-vqg-s124-fixed-r4-4ep-confirm/outputs/canonical-init/cb64r16-s124-init.pt,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-baseline-r16-joint
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-read-gate-r16
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-read-gate-softmargin-r16
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s124-read-softmargin-r16
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-baseline-r16-joint
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-read-gate-r16
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-read-gate-softmargin-r16
3090,mqar_cache,./data/flash_vqg,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,s125-read-softmargin-r16
