-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      IndexPutBackward0         0.00%      36.864us         0.00%     323.016us     107.672us       0.000us         0.00%     301.216us     100.405us           0 b           0 b      37.48 Mb     -13.48 Mb             3  
                       flashvqg/attn/phase2/remote_path         0.00%     549.811us         0.14%      29.740ms      29.740ms       0.000us         0.00%     288.125us     288.125us           0 b           0 b      36.22 Mb      -2.19 Mb             1  
                                     aten::index_select         0.00%     715.747us         0.27%      56.143ms       2.005ms     235.519us         0.00%     235.519us       8.411us           0 b           0 b      34.88 Mb           0 b            28  
                                              aten::pow         0.00%     163.823us         0.11%      22.066ms       2.758ms     141.214us         0.00%     143.678us      17.960us           0 b           0 b      34.57 Mb      34.57 Mb             8  
                                   IndexSelectBackward0         0.00%     262.620us         0.00%     744.653us     124.109us       0.000us         0.00%     310.018us      51.670us           0 b           0 b      34.05 Mb           0 b             6  
                            aten::index_select_backward         0.00%      27.101us         0.00%     482.033us      80.339us       0.000us         0.00%     310.018us      51.670us           0 b           0 b      34.05 Mb           0 b             6  
                                        ExpandBackward0         0.00%      12.612us         0.00%      86.513us      12.359us       0.000us         0.00%       2.153ms     307.634us           0 b           0 b      32.56 Mb           0 b             7  
                               aten::cross_entropy_loss         0.00%      13.148us         0.02%       5.048ms       5.048ms       0.000us         0.00%     153.216us     153.216us           0 b           0 b      32.00 Mb           0 b             1  
                                      aten::log_softmax         0.00%       5.532us         0.00%     109.430us     109.430us       0.000us         0.00%     131.200us     131.200us           0 b           0 b      32.00 Mb           0 b             1  
                                     aten::_log_softmax         0.00%      29.151us         0.00%     103.574us     103.574us     131.200us         0.00%     131.200us     131.200us           0 b           0 b      32.00 Mb      32.00 Mb             1  
                                       NllLossBackward0         0.00%      33.612us         0.00%     211.730us     211.730us       0.000us         0.00%      74.816us      74.816us           0 b           0 b      32.00 Mb           0 b             1  
                                aten::nll_loss_backward         0.00%      48.944us         0.00%     178.118us     178.118us      13.568us         0.00%      74.816us      74.816us           0 b           0 b      32.00 Mb      32.00 Mb             1  
                                    LogSoftmaxBackward0         0.00%      13.187us         0.00%      75.469us      75.469us       0.000us         0.00%     238.624us     238.624us           0 b           0 b      32.00 Mb           0 b             1  
                       aten::_log_softmax_backward_data         0.00%      14.246us         0.00%      62.282us      62.282us     238.624us         0.00%     238.624us     238.624us           0 b           0 b      32.00 Mb      32.00 Mb             1  
autograd::engine::evaluate_function: NllLossBackward...         0.00%      58.427us         0.00%     270.157us     270.157us       0.000us         0.00%      74.816us      74.816us           0 b           0 b      32.00 Mb        -512 b             1  
                            flashvqg/attn/phase2/reduce         0.00%     278.350us         0.02%       3.587ms       3.587ms       0.000us         0.00%     390.015us     390.015us           0 b           0 b      28.37 Mb      -2.02 Mb             1  
