-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     AsStridedBackward0         0.00%      50.937us         0.00%     164.658us      54.886us       0.000us         0.00%     294.975us      98.325us           0 b           0 b      48.00 Mb           0 b             3  
                                        aten::index_put         0.00%      13.866us         0.00%     182.324us      60.775us       0.000us         0.00%     290.271us      96.757us           0 b           0 b      48.00 Mb           0 b             3  
autograd::engine::evaluate_function: IndexSelectBack...         0.00%     113.347us         0.02%       4.133ms     516.571us       0.000us         0.00%     783.838us      97.980us           0 b           0 b      47.02 Mb     -85.20 Mb             8  
                                           aten::linear         0.00%      93.930us         0.09%      19.788ms       2.827ms       0.000us         0.00%     283.808us      40.544us           0 b           0 b      43.16 Mb           0 b             7  
                                           aten::matmul         0.07%      15.809ms         1.30%     280.825ms      34.260us       0.000us         0.00%      22.660ms       2.764us           0 b           0 b      39.52 Mb           0 b          8197  
                               aten::cross_entropy_loss         0.00%      11.659us         0.02%       4.775ms       4.775ms       0.000us         0.00%     152.767us     152.767us           0 b           0 b      32.00 Mb           0 b             1  
                                      aten::log_softmax         0.00%       4.825us         0.00%      63.539us      63.539us       0.000us         0.00%     130.815us     130.815us           0 b           0 b      32.00 Mb           0 b             1  
                                     aten::_log_softmax         0.00%      27.321us         0.00%      58.412us      58.412us     130.815us         0.00%     130.815us     130.815us           0 b           0 b      32.00 Mb      32.00 Mb             1  
                                       NllLossBackward0         0.00%      33.166us         0.00%     205.232us     205.232us       0.000us         0.00%      75.488us      75.488us           0 b           0 b      32.00 Mb           0 b             1  
                                aten::nll_loss_backward         0.00%      45.277us         0.00%     172.066us     172.066us      13.664us         0.00%      75.488us      75.488us           0 b           0 b      32.00 Mb      32.00 Mb             1  
                                    LogSoftmaxBackward0         0.00%      13.464us         0.00%      72.381us      72.381us       0.000us         0.00%     240.031us     240.031us           0 b           0 b      32.00 Mb           0 b             1  
                       aten::_log_softmax_backward_data         0.00%      13.361us         0.00%      58.917us      58.917us     240.031us         0.00%     240.031us     240.031us           0 b           0 b      32.00 Mb      32.00 Mb             1  
autograd::engine::evaluate_function: NllLossBackward...         0.00%      47.973us         0.00%     253.205us     253.205us       0.000us         0.00%      75.488us      75.488us           0 b           0 b      32.00 Mb        -512 b             1  
                            flashvqg/attn/phase2/reduce         0.00%     333.795us         0.01%       2.639ms       2.639ms       0.000us         0.00%     526.174us     526.174us           0 b           0 b      31.43 Mb      -3.02 Mb             1  
                                            MvBackward0         0.17%      37.322ms         1.96%     421.458ms      68.597us       0.000us         0.00%      37.215ms       6.057us           0 b           0 b      27.00 Mb           0 b          6144  
                                              aten::div         0.00%     897.232us         0.04%       8.408ms     133.468us     250.274us         0.00%     250.274us       3.973us           0 b           0 b      25.96 Mb      25.96 Mb            63  
                       gd_residual/phase2_residual_read         0.00%     324.555us         0.01%       1.295ms       1.295ms       0.000us         0.00%     400.222us     400.222us           0 b           0 b      24.39 Mb      -2.02 Mb             1  
                                              aten::ger         0.04%       7.893ms         0.78%     168.269ms      27.388us       0.000us         0.00%      18.114ms       2.948us           0 b           0 b      24.00 Mb           0 b          6144  
                                              aten::sub         1.25%     269.488ms         1.94%     417.250ms      18.767us      48.230ms         0.89%      48.230ms       2.169us         396 b           0 b      20.36 Mb      20.36 Mb         22233  
