metric,step,epoch,timestamp,value
valid/num_kv_pairs/accuracy-32,1415,2,2026-05-19T03:05:12.975533+00:00,1.0
valid/num_kv_pairs/accuracy-32,2123,3,2026-05-19T03:06:10.122521+00:00,1.0
valid/num_kv_pairs/accuracy-32,2831,4,2026-05-19T03:07:08.531024+00:00,0.99996875
valid/num_kv_pairs/accuracy-4,707,1,2026-05-19T03:04:20.061678+00:00,0.99975
valid/num_kv_pairs/accuracy-4,1415,2,2026-05-19T03:05:12.975324+00:00,0.99975
valid/num_kv_pairs/accuracy-4,2123,3,2026-05-19T03:06:10.122313+00:00,1.0
valid/num_kv_pairs/accuracy-4,2831,4,2026-05-19T03:07:08.530391+00:00,0.99975
valid/num_kv_pairs/accuracy-64,707,1,2026-05-19T03:04:20.062689+00:00,0.9862109375
valid/num_kv_pairs/accuracy-64,1415,2,2026-05-19T03:05:12.975598+00:00,0.997875
valid/num_kv_pairs/accuracy-64,2123,3,2026-05-19T03:06:10.122588+00:00,0.9986875
valid/num_kv_pairs/accuracy-64,2831,4,2026-05-19T03:07:08.531190+00:00,0.998921875
valid/num_kv_pairs/accuracy-8,707,1,2026-05-19T03:04:20.061933+00:00,0.99975
valid/num_kv_pairs/accuracy-8,1415,2,2026-05-19T03:05:12.975395+00:00,0.999875
valid/num_kv_pairs/accuracy-8,2123,3,2026-05-19T03:06:10.122386+00:00,0.999875
valid/num_kv_pairs/accuracy-8,2831,4,2026-05-19T03:07:08.530695+00:00,0.999875
