variant,semantic,standard_accuracy,standard_delta,extrapolation_macro_delta,threshold_standard,threshold_extrapolation,status
a1-reference,exact_reference,0.9598125,0.0,0.0,-0.02,-0.05,reference
a1-block256-k2r8,capacity_approx,0.21878515625,-0.74102734375,-0.5736125148495194,-0.02,-0.05,quality_rejected
