accuracy,cuda_device,dataset_hash,eval_event_id,eval_mode,eval_status,failure_detail,failure_type,gpu,gpu_name,input_seq_len,num_kv_pairs,repro_check_accuracy_delta_abs,repro_check_accuracy_match,repro_check_dataset_hash_match,source_config,source_config_family,source_model_family,source_seed
0.891703125,0,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,20260526-longer-mqar-official-core:formal:gd-r10-s123-d123-b64-ga4-fp32-noearly4ep:1024x256:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,1024,256,,,,cb256-r10-s123-d123,cb256-r10,flash,123
0.5986484375,0,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,20260526-longer-mqar-official-core:formal:gd-r10-s123-d123-b64-ga4-fp32-noearly4ep:2048x512:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,2048,512,,,,cb256-r10-s123-d123,cb256-r10,flash,123
0.9853984375,1,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,20260526-longer-mqar-official-core:formal:gd-r10-s124-d123-b64-ga4-fp32-noearly4ep:1024x256:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,1024,256,,,,cb256-r10-s124-d123,cb256-r10,flash,124
0.9154921875,1,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,20260526-longer-mqar-official-core:formal:gd-r10-s124-d123-b64-ga4-fp32-noearly4ep:2048x512:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,2048,512,,,,cb256-r10-s124-d123,cb256-r10,flash,124
0.278982421875,0,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,20260526-longer-mqar-official-core:formal:gd-r10-s123-d123-b64-ga4-fp32-noearly4ep:4096x1024:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,4096,1024,,,,cb256-r10-s123-d123,cb256-r10,flash,123
0.69865234375,1,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,20260526-longer-mqar-official-core:formal:gd-r10-s124-d123-b64-ga4-fp32-noearly4ep:4096x1024:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,4096,1024,,,,cb256-r10-s124-d123,cb256-r10,flash,124
0.4934453125,0,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,20260526-longer-mqar-official-core:formal:gd-r10-s123-d123-b64-ga4-fp32-noearly4ep:8190x512:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,8190,512,,,,cb256-r10-s123-d123,cb256-r10,flash,123
0.84016796875,1,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,20260526-longer-mqar-official-core:formal:gd-r10-s124-d123-b64-ga4-fp32-noearly4ep:8190x512:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,8190,512,,,,cb256-r10-s124-d123,cb256-r10,flash,124
0.11088715192965315,0,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,20260526-longer-mqar-official-core:formal:gd-r10-s123-d123-b64-ga4-fp32-noearly4ep:8190x2047:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,8190,2047,,,,cb256-r10-s123-d123,cb256-r10,flash,123
0.891703125,0,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,20260526-longer-mqar-official-core:repro:gd-r10-s123-d123-b64-ga4-fp32-noearly4ep:1024x256:n500,repro,completed,,,0,NVIDIA GeForce RTX 2080 Ti,1024,256,0.0,true,true,cb256-r10-s123-d123,cb256-r10,flash,123
