config_group,source_model_family,n_checkpoints,seeds,source_trainable_params,source_dynamic_capacity_total,source_batch_accum_profile,accuracy_mean_1024x256,accuracy_std_1024x256,accuracy_mean_2048x512,accuracy_std_2048x512,accuracy_mean_4096x1024,accuracy_std_4096x1024,accuracy_mean_8190x512,accuracy_std_8190x512,accuracy_mean_8190x2047,accuracy_std_8190x2047
cb256-r10,flash,4,123;124;125;126,1184198,327680,b64_ga4,0.9142167969,0.0823918457,0.7079531250,0.2360148017,0.4589375000,0.2716217647,0.6232167969,0.2604648208,0.2327906693,0.1657663858
cb256-r4,flash,1,123,1183430,131072,b64_ga4,0.8941562500,,0.6666914063,,0.3806777344,,0.5667343750,,0.1717020029,
cb64-r16,flash,1,123,1160390,131072,b64_ga4,0.9696250000,,0.8226445313,,0.4689238281,,0.7172617187,,0.1622882267,
gdn-h2-ev10,gdn,5,123;124;125;126;127,1434630,81920,b64_ga4,0.8365968750,0.0152332849,0.3474218750,0.0177337810,0.0775242187,0.0150859363,0.2283125000,0.0157450643,0.0064783586,0.0027484728
gdn-h2-ev16,gdn,3,123;124;125,1634694,131072,b64_ga4,0.7998541667,0.0674934478,0.3549348958,0.0488263721,0.1072968750,0.0164363405,0.2490885417,0.0285331411,0.0159237909,0.0026087346
gdn-h2-ev8,gdn,5,123;124;125;126;127,1367942,65536,b64_ga4,0.8298531250,0.0129729412,0.3609984375,0.0117023932,0.0973894531,0.0129649085,0.2492687500,0.0175824230,0.0111849536,0.0040246603
