variant,variant_kind,description,completed_machines,completed_count,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_within_4pp,best_1024x256_2080ti,best_1024x256_3090,best_gap,best_gap_percentage_points,best_within_4pp,fox_remote_read_topk,fox_remote_read_topk_initial,fox_remote_read_topk_final,release_start,release_end,schedule,dense_read_chunked
fixed-r4,fixed,fixed train-time read_topk=4,"2080ti,3090",2,0.284,0.135,0.14899999999999997,14.899999999999997,False,0.284,0.135,0.14899999999999997,14.899999999999997,False,4,,,0,0,linear_int,False
fixed-r2-baseline,fixed,fixed train-time read_topk=2 baseline,2080ti,1,0.877,,,,,0.877,,,,,2,,,0,0,linear_int,False
