checkpoint_role,seed,metric,a0,a1,a1_minus_a0
last,123,standard_mqar_1024x256,0.96225390625,0.96225390625,0.0
last,123,2048x512,0.78333984375,0.78333984375,0.0
last,123,4096x1024,0.415216796875,0.415216796875,0.0
last,123,8190x512,0.64891015625,0.64891015625,0.0
last,123,8190x2047,0.13891743698716164,0.13891743698716164,0.0
last,124,standard_mqar_1024x256,0.956734375,0.9762421875,0.0195078125
last,124,2048x512,0.7712734375,0.831109375,0.05983593750000005
last,124,4096x1024,0.39864453125,0.459857421875,0.061212890625000016
last,124,8190x512,0.63841796875,0.70228515625,0.06386718749999998
last,124,8190x2047,0.12936883139610292,0.15357596388459205,0.02420713248848913
last,125,standard_mqar_1024x256,0.981890625,0.981890625,0.0
last,125,2048x512,0.8655078125,0.8655078125,0.0
last,125,4096x1024,0.517294921875,0.517294921875,0.0
last,125,8190x512,0.7407109375,0.7407109375,0.0
last,125,8190x2047,0.18354567754268647,0.18354567754268647,0.0
