variant,variant_kind,description,completed_machines,completed_count,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_within_4pp,best_1024x256_2080ti,best_1024x256_3090,best_gap,best_gap_percentage_points,best_within_4pp,fox_remote_read_topk,fox_remote_read_topk_initial,fox_remote_read_topk_final,release_start,release_end,schedule,dense_read_chunked
baseline-r2,fixed,"default-dropout fixed read_topk=2, no residual injection warmup","2080ti,3090",2,0.818,0.48,0.33799999999999997,33.8,False,0.818,0.48,0.33799999999999997,33.8,False,2,,,0,0,linear_int,False
inj-warmup-linear512-r2,fixed,"default-dropout fixed read_topk=2, residual injection linearly warms from optimizer step 0 to 512","2080ti,3090",2,0.871,0.814,0.05700000000000005,5.700000000000005,False,0.871,0.814,0.05700000000000005,5.700000000000005,False,2,,,0,0,linear_int,False
inj-warmup-silent64-linear512-r2,fixed,"default-dropout fixed read_topk=2, residual injection silent to optimizer step 64 then linearly warms to 512","2080ti,3090",2,0.775,0.819,0.04399999999999993,4.399999999999993,False,0.775,0.819,0.04399999999999993,4.399999999999993,False,2,,,0,0,linear_int,False
