target,machines_completed,completed_pair,embed_dropout,read_topk,step16_top1_match_rate,step16_topk_exact_match_rate,step16_topk_overlap_ratio_mean,step128_top1_match_rate,step128_topk_exact_match_rate,step128_topk_overlap_ratio_mean,decision
baseline-r2,"2080ti,3090",True,0.1,2,0.65625,0.3125,0.6875,0.53125,0.171875,0.4375,usable_pair_diagnostic
inj-warmup-linear512-r2,"2080ti,3090",True,0.1,2,0.671875,0.34375,0.703125,0.4375,0.0625,0.3359375,usable_pair_diagnostic
inj-warmup-silent64-linear512-r2,"2080ti,3090",True,0.1,2,0.671875,0.34375,0.703125,0.484375,0.0625,0.359375,usable_pair_diagnostic
