experiment_id,machine,target,train_step,warmup_start_optimizer_step,warmup_end_optimizer_step,warmup_start_train_forward_step,warmup_end_train_forward_step,warmup_eval_policy,factor_mean,factor_layer0,factor_layer1,inject_ratio_mean,inject_ratio_layer0,inject_ratio_layer1,lambda_mean,loss
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,64,0,512,0,2048,scheduled,0.125,,0.125,0.008694310672581196,,0.008694310672581196,0.013706001453101635,8.704903602600098
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,96,0,512,0,2048,scheduled,0.1875,,0.1875,0.010569355450570583,,0.010569355450570583,0.007653213106095791,8.528586387634277
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,128,0,512,0,2048,scheduled,0.25,,0.25,0.023848125711083412,,0.023848125711083412,0.0055216578766703606,8.461267471313477
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,192,0,512,0,2048,scheduled,0.375,,0.375,0.011852367781102657,,0.011852367781102657,0.014461166225373745,8.415788650512695
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,256,0,512,0,2048,scheduled,0.5,,0.5,0.06104156747460365,,0.06104156747460365,0.05404368042945862,8.388022422790527
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,384,0,512,0,2048,scheduled,0.75,,0.75,0.4599451422691345,,0.4599451422691345,0.557015061378479,7.277788162231445
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,512,0,512,0,2048,scheduled,1.0,,1.0,0.2766511142253876,,0.2766511142253876,0.35405436158180237,1.7725963592529297
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-linear512-r2,704,0,512,0,2048,scheduled,1.0,,1.0,0.2099345326423645,,0.2099345326423645,0.2726510763168335,1.1340880393981934
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,0,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05000000819563866,9.038751602172852
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,1,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05001399666070938,9.038322448730469
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,2,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05002797022461891,9.038458824157715
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,4,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05005597695708275,9.038789749145508
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,8,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05011199414730072,9.03887939453125
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,16,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050224121659994125,9.03617000579834
