group,case,dtype,K,V,metric,max_abs,max_rel,official_abs_tol,official_rel_tol,official_passed,strict_passed,worst_index,ref_at_worst,tri_at_worst
large_k_cases,K512-V128-fp32,torch.float32,512,128,output,4.148809239268303e-06,0.4033219516277313,0.005,0.05,True,True,"[0, 83, 0, 30]",-0.0024542706087231636,-0.0024501217994838953
large_k_cases,K512-V128-fp32,torch.float32,512,128,final_state,2.8712674975395203e-06,0.7588102221488953,0.005,0.05,True,True,"[0, 1, 326, 109]",0.0016111149452626705,0.00161398621276021
large_k_cases,K512-V128-fp32,torch.float32,512,128,dq,2.2032763808965683e-06,0.1513029783964157,0.005,0.05,True,True,"[0, 113, 0, 224]",-0.0013935305178165436,-0.001391327241435647
large_k_cases,K512-V128-fp32,torch.float32,512,128,dk,0.0040381960570812225,1.999990463256836,0.008,0.08,True,True,"[0, 127, 1, 317]",0.02578934095799923,0.021751144900918007
large_k_cases,K512-V128-fp32,torch.float32,512,128,dv,0.00016133487224578857,0.28309348225593567,0.005,0.05,True,True,"[0, 127, 0, 4]",0.2199830263853073,0.21982169151306152
large_k_cases,K512-V128-fp32,torch.float32,512,128,dbeta,0.002503037452697754,1.4787898063659668,0.02,0.2,True,True,"[0, 126, 0]",0.018150243908166885,0.01564720645546913
large_k_cases,K512-V128-fp32,torch.float32,512,128,dg,4.301592707633972e-05,0.9262552857398987,0.02,0.2,True,True,"[0, 127, 1]",-0.03599446639418602,-0.03595145046710968
large_k_cases,K512-V128-fp32,torch.float32,512,128,dh0,1.2854434316977859e-07,0.07635952532291412,0.005,0.05,True,True,"[0, 1, 70, 70]",0.00011306096712360159,0.00011293242278043181
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,output,3.8547441363334656e-06,0.2795059084892273,0.005,0.05,True,True,"[0, 66, 0, 45]",0.0027740653604269028,0.0027702106162905693
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,final_state,2.78279185295105e-06,0.6201949715614319,0.005,0.05,True,True,"[0, 0, 403, 31]",-0.011719313450157642,-0.011722096242010593
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dq,9.542563930153847e-07,0.09566544741392136,0.005,0.05,True,True,"[0, 58, 0, 373]",-0.00044248983613215387,-0.0004415355797391385
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dk,0.007465813308954239,1.9996320009231567,0.008,0.08,True,False,"[0, 127, 0, 426]",0.00508053507655859,-0.0023852784652262926
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dv,0.000148773193359375,0.22872166335582733,0.005,0.05,True,True,"[0, 127, 0, 14]",0.18117879331111908,0.1810300201177597
