experiment_id,machine,gpu,target,training_seed,status,started_at,finished_at,elapsed_seconds,dtype_policy,log_path,config_json,result_json
20260724-01-flash-vqg-gd-residual-efficiency,2080ti,1,s125-baseline-r16-joint,125,completed,2026-07-24T05:57:49+08:00,2026-07-24T06:05:49+08:00,480,FP32; PyTorch matmul TF32 off; cuDNN TF32 off; Triton IEEE,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/logs/s125-baseline-r16-joint.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/configs/s125-baseline-r16-joint.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/results/s125-baseline-r16-joint.json
20260724-01-flash-vqg-gd-residual-efficiency,2080ti,1,s124-baseline-r16-joint,124,completed,2026-07-24T06:05:57+08:00,2026-07-24T06:13:57+08:00,480,FP32; PyTorch matmul TF32 off; cuDNN TF32 off; Triton IEEE,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/logs/s124-baseline-r16-joint.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/configs/s124-baseline-r16-joint.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/results/s124-baseline-r16-joint.json
20260724-01-flash-vqg-gd-residual-efficiency,3090,0,s125-baseline-r16-joint,125,completed,2026-07-23T22:07:58+00:00,2026-07-23T22:13:58+00:00,360,FP32; PyTorch matmul TF32 off; cuDNN TF32 off; Triton IEEE,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/logs/s125-baseline-r16-joint.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/configs/s125-baseline-r16-joint.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/results/s125-baseline-r16-joint.json
20260724-01-flash-vqg-gd-residual-efficiency,3090,0,s124-baseline-r16-joint,124,completed,2026-07-23T22:14:05+00:00,2026-07-23T22:20:05+00:00,360,FP32; PyTorch matmul TF32 off; cuDNN TF32 off; Triton IEEE,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/logs/s124-baseline-r16-joint.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/configs/s124-baseline-r16-joint.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/results/s124-baseline-r16-joint.json
