machine,stage,model,phase,repeat_id,metrics_mode,warmup,active,wall_p50_ms,wall_p90_ms,cuda_p50_ms,backbone_p50_ms,backward_p50_ms,optimizer_step_p50_ms,lm_head_p50_ms,cross_entropy_p50_ms,argmax_p50_ms,metrics_wall_p50_ms,loss_sync_wall_p50_ms,metric_count,gradient_accumulation_steps,tokens_per_timed_unit,tokens_per_second,microbatch_equivalent_wall_ms,peak_allocated_bytes,peak_reserved_bytes,trainable_parameters,active_state_capacity,grouped_chunk_backend,selected_read_backend,frozen_gdn_reused,source
2080ti,reference-baseline,flash,eval,1,core,5,10,648.0061960173771,648.7375538330525,647.7977390363812,641.9035949707031,,,3.4472479820251465,2.256880044937134,,0.0003159511834383011,,0.0,1,16384,25283.708860648985,,3441325568,3565158400,1160390,131072,,,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/flash-eval-core-r1/summary.json
2080ti,reference-baseline,flash,train,1,core,5,10,4423.033499508165,6705.909357289784,4419.779348963406,1823.9965057373047,2573.2296752929688,0.7971839904785156,11.060783982276917,9.132559776306152,,0.00032491516321897507,0.0,0.0,4,65536,14816.980248349353,1105.5590788794216,7205588992,10448011264,1160390,131072,,,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/flash-train-core-r1/summary.json
2080ti,reference-baseline,gdn,eval,1,core,5,10,41.0954540129751,41.51551350951195,40.918416015803814,35.403696060180664,,,3.09660804271698,2.249247908592224,,0.0002474989742040634,,0.0,1,16384,398681.56693991186,,1096258560,2034237440,1335942,131072,,,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/gdn-eval-core-r1/summary.json
2080ti,reference-baseline,gdn,train,1,core,5,10,591.2845279090106,592.376655084081,590.4850685060956,146.26387214660645,419.54562759399414,0.5773279964923859,13.792335987091064,9.182767987251282,,0.00024051405489444733,0.0,0.0,4,65536,110836.65630784941,147.67679997812957,2013742080,2617245696,1335942,131072,,,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/gdn-train-core-r1/summary.json
3090,reference-baseline,flash,eval,1,core,5,10,453.24102882295847,472.61864515021443,453.0217835456133,449.5713195800781,,,1.7357119917869568,1.5646719932556152,,0.00029010698199272156,,0.0,1,16384,36148.53677865027,,3441325568,3565158400,1160390,131072,,,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/baseline/flash-eval-core-r1/summary.json
3090,reference-baseline-current,flash,train,1,core,5,10,3189.973032101989,4807.61256152764,3186.1782256290317,1230.9257354736328,1939.669418334961,0.6656320095062256,7.018496036529541,6.297743916511536,,0.00029476359486579895,0.0,0.0,4,65536,20544.374306768343,797.3268500231206,7203213312,10468982784,1160390,131072,torch,materialized,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/baseline-current/flash-train-core-r1/summary.json
