machine,stage,model,phase,repeat_id,metrics_mode,warmup,active,wall_p50_ms,wall_p90_ms,cuda_p50_ms,backbone_p50_ms,backward_p50_ms,optimizer_step_p50_ms,lm_head_p50_ms,cross_entropy_p50_ms,argmax_p50_ms,metrics_wall_p50_ms,loss_sync_wall_p50_ms,metric_count,gradient_accumulation_steps,tokens_per_timed_unit,tokens_per_second,microbatch_equivalent_wall_ms,peak_allocated_bytes,peak_reserved_bytes,trainable_parameters,active_state_capacity,grouped_chunk_backend,selected_read_backend,frozen_gdn_reused,source,repeat_count,repeat_ids,sources
3090,final,flash,eval,2,core,5,10,57.01031954959035,64.13996331393719,56.85599836707115,53.47993469238281,,,1.7377279996871948,1.5400960445404053,,0.00023981556296348572,,0.0,1,16384,287386.5666679591,,1095572992,2055208960,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-eval-core-r2/summary.json,,,
3090,final,flash,eval,3,core,5,10,54.05541555956006,66.69574519619346,53.89096140488982,50.5082893371582,,,1.741312026977539,1.5400960445404053,,0.00028032809495925903,,0.0,1,16384,303096.3656536423,,1095572992,2055208960,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-eval-core-r3/summary.json,,,
3090,final,flash,train,1,core,5,10,647.0687333494425,668.229097314179,645.7895009741187,82.50111961364746,545.7026138305664,0.49407999217510223,7.122431993484497,6.311423897743225,,0.0002551823854446411,0.0,0.0,4,65536,101281.35794904495,161.64366333931684,3276247552,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-train-core-r1/summary.json,,,
3090,final,flash,train,2,core,5,10,690.2088993228972,720.2728472650051,689.0012309243903,83.93966388702393,586.9751510620117,0.5212959945201874,7.237119972705841,6.373392045497894,,0.000250060111284256,0.0,0.0,4,65536,94950.96348988192,172.42190083209425,3276247552,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-train-core-r2/summary.json,,,
3090,final,flash,train,3,core,5,10,709.8058396950364,774.4956000708044,708.7620055940934,84.74833583831787,609.0410614013672,0.48681600391864777,7.35232001543045,6.426671922206879,,0.00023515895009040833,0.0,0.0,4,65536,92329.47425194069,177.32975592277944,3276247552,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-train-core-r3/summary.json,,,
2080ti,final-3-repeat-median,flash,eval,,,,,77.81784550752491,78.32625817973167,77.63803469389677,72.52649688720703,,,2.694831967353821,2.2530559301376343,,0.00035960692912340164,,0.0,1,16384,210542.96598863925,,1095572992.0,2055208960.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-eval-core-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-eval-core-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-eval-core-r3/summary.json
2080ti,final-3-repeat-median,flash,train,,,,,900.4478850401938,909.8429343197495,899.2164448010735,124.4626874923706,750.7519989013672,0.6129920184612274,12.014671921730042,9.136800050735474,,0.0003080349415540695,0.0,0.0,4,65536,72781.55803217266,224.9542232612148,3276562432.0,3674210304.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-train-core-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-train-core-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-train-core-r3/summary.json
2080ti,final-3-repeat-median,gdn,eval,,,,,41.29748966079205,41.51551350951195,41.1316484734416,35.57566452026367,,,3.154927968978882,2.249247908592224,,0.0002534361556172371,,0.0,1,16384,396731.13631299033,,1096258560.0,2034237440.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/gdn-eval-core-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/gdn-eval-core-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/gdn-eval-core-r3/summary.json
2080ti,final-3-repeat-median,gdn,train,,,,,597.183253034018,600.007322919555,596.2994264655281,147.3227195739746,424.13513565063477,0.5773279964923859,14.107231974601746,9.185440063476562,,0.00022444874048233032,0.0,0.0,4,65536,109741.85841120164,149.153089258587,2013742080.0,2617245696.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/gdn-train-core-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/gdn-train-core-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/gdn-train-core-r3/summary.json
3090,final-3-repeat-median,flash,eval,,,,,54.05541555956006,64.13996331393719,53.89096140488982,50.5082893371582,,,1.7408000230789185,1.5400960445404053,,0.00023981556296348572,,0.0,1,16384,303096.3656536423,,1095572992.0,2055208960.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-eval-core-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-eval-core-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-eval-core-r3/summary.json
3090,final-3-repeat-median,flash,train,,,,,690.2088993228972,720.2728472650051,689.0012309243903,83.93966388702393,586.9751510620117,0.49407999217510223,7.237119972705841,6.373392045497894,,0.000250060111284256,0.0,0.0,4,65536,94950.96348988192,172.42190083209425,3276247552.0,3674210304.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-train-core-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-train-core-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-current/flash-train-core-r3/summary.json
