machine,training_seed,valid_accuracy,historical_valid_accuracy,valid_accuracy_delta,overall_non_regression_pass,accuracy_1024x256,historical_accuracy_1024x256,accuracy_1024x256_delta,hard_accuracy_pass,valid_loss,checkpoint_sha256,model_state_sha256,checkpoint_path,summary_source
2080ti,124,0.98758642578125,0.982,0.005586425781250015,True,0.93320703125,0.902,0.031207031250000017,True,0.18568038940060114,fb0a449f37d34fe7bb9ca5ab94aee8cbba67ef23734ff6316314ab46796213b8,8c1a36ecc84eefe6bd916d4a04657d2df6a0c98c8b8dd50db61c6e62c73adbe4,checkpoints/fvqg-20260724-01-flash-vqg-gd-residual-efficiency-2080ti-s124-baseline-r16-joint-2080ti-formal/20260724-01-flash-vqg-gd-residual-efficiency-s124-baseline-r16-joint-fixedinit-s124-d123-b64ga4-2080ti-2080ti-formal/last.pt,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/checkpoint-summary.json
2080ti,125,0.98524365234375,0.986,-0.0007563476562499893,True,0.92148828125,0.929,-0.007511718750000007,True,0.20515474491560506,ed69322931ff4d7b0e1ea136ee7f7b4906727b777112e9e15f4916330d702be8,5cdba0d37112cd4d5f9d7ec939befc6c4dda462c24f79bd0f2de4dab8a5a215b,checkpoints/fvqg-20260724-01-flash-vqg-gd-residual-efficiency-2080ti-s125-baseline-r16-joint-2080ti-formal/20260724-01-flash-vqg-gd-residual-efficiency-s125-baseline-r16-joint-fixedinit-s124-d123-b64ga4-2080ti-2080ti-formal/last.pt,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/formal-20260724T0558-v3/checkpoint-summary.json
3090,124,0.98672119140625,0.988,-0.0012788085937499583,True,0.93031640625,0.939,-0.00868359374999994,True,0.19699941010081343,becab1fbfdaa03002e314a7c9feff5b2aa9ec69a1bc7ed8b9647bb777ec897d1,d1ee4616657941bbd53a92b5c37072272701d2f6b84ebb28e1116a2376648339,checkpoints/fvqg-20260724-01-flash-vqg-gd-residual-efficiency-3090-s124-baseline-r16-joint-3090-formal/20260724-01-flash-vqg-gd-residual-efficiency-s124-baseline-r16-joint-fixedinit-s124-d123-b64ga4-3090-3090-formal/last.pt,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/checkpoint-summary.json
3090,125,0.9905537109375,0.991,-0.0004462890624999938,True,0.951328125,0.953,-0.0016718749999999893,True,0.15996895298095687,bdffc879e538d61aeefe2c76b684af160bbf05b45702fb55581449eb03b7434f,d682a146ab95f216f5452ad507a264082d8658a926458359799ba3bf8e8a58c8,checkpoints/fvqg-20260724-01-flash-vqg-gd-residual-efficiency-3090-s125-baseline-r16-joint-3090-formal/20260724-01-flash-vqg-gd-residual-efficiency-s125-baseline-r16-joint-fixedinit-s124-d123-b64ga4-3090-3090-formal/last.pt,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/formal-20260724T0608-v1/checkpoint-summary.json
