machine,stage,model,phase,repeat_id,metrics_mode,warmup,active,wall_p50_ms,wall_p90_ms,cuda_p50_ms,backbone_p50_ms,backward_p50_ms,optimizer_step_p50_ms,lm_head_p50_ms,cross_entropy_p50_ms,argmax_p50_ms,metrics_wall_p50_ms,loss_sync_wall_p50_ms,metric_count,gradient_accumulation_steps,tokens_per_timed_unit,tokens_per_second,microbatch_equivalent_wall_ms,peak_allocated_bytes,peak_reserved_bytes,trainable_parameters,active_state_capacity,grouped_chunk_backend,selected_read_backend,frozen_gdn_reused,source,repeat_count,repeat_ids,sources
3090,formal-final,flash,eval,2,formal,5,10,74.77982668206096,75.33231601119041,74.46364673227072,70.45580673217773,,,1.7597439885139465,1.539072036743164,0.6138880252838135,3.792157396674156,,206.0,1,16384,219096.52277825327,,1095626240,2059403264,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-eval-formal-r2/summary.json,,,
3090,formal-final,flash,eval,3,formal,5,10,73.71214311569929,77.4243462830782,73.38501023873687,69.3769302368164,,,1.7568640112876892,1.539072036743164,0.6133760213851929,3.7999064661562443,,206.0,1,16384,222270.02644982815,,1095626240,2059403264,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-eval-formal-r3/summary.json,,,
3090,formal-final,flash,train,1,formal,5,10,696.5169198811054,705.1488593220711,694.5904687792063,119.54091262817383,558.1655120849609,0.5143360197544098,7.1664639711380005,6.323199987411499,,0.8600051514804363,0.07971515879034996,206.0,4,65536,94091.03803420442,174.00064596533775,3276302848,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-train-formal-r1/summary.json,,,
3090,formal-final,flash,train,2,formal,5,10,730.7780380360782,761.225710157305,728.7909992365167,122.68982315063477,591.8209991455078,0.4787040054798126,7.350271940231323,6.37798398733139,,0.8302852511405945,0.06882520392537117,206.0,4,65536,89679.7612803527,182.5748335076496,3276302848,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-train-formal-r2/summary.json,,,
3090,formal-final,flash,train,3,formal,5,10,749.9405555427074,789.973408728838,747.8526961263269,125.9882698059082,605.5004730224609,0.5300959944725037,7.33542400598526,6.416447997093201,,0.8292049169540405,0.0744350254535675,206.0,4,65536,87388.25966355925,187.35261488705873,3276302848,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-train-formal-r3/summary.json,,,
2080ti,formal-3-repeat-median,flash,eval,,,,,108.58371295034885,109.07899509184062,108.18292720615864,102.09323120117188,,,2.7133920192718506,2.25271999835968,0.9332639873027802,5.787055124528706,,206.0,1,16384,150888.19082371748,,1095626240.0,2059403264.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-eval-formal-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-eval-formal-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-eval-formal-r3/summary.json
2080ti,formal-3-repeat-median,flash,train,,,,,984.9857359658927,992.977359588258,982.6537157348357,180.78582572937012,778.8426284790039,0.5800639986991882,13.147040128707886,9.163424015045166,,1.1074075009673834,0.07561850361526012,206.0,4,65536,66534.97366206461,246.10090598789975,3276617216.0,3688890368.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-train-formal-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-train-formal-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-train-formal-r3/summary.json
2080ti,formal-3-repeat-median,gdn,eval,,,,,43.25226112268865,43.74341864604503,43.07590502500534,36.34603309631348,,,3.3966718912124634,2.254047989845276,0.9401119947433472,0.05318666808307171,,0.0,1,16384,378801.00542085915,,1096258560.0,2034237440.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-eval-formal-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-eval-formal-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-eval-formal-r3/summary.json
2080ti,formal-3-repeat-median,gdn,train,,,,,606.8361354991794,629.8587812576443,605.8115732432343,148.4721279144287,432.1681938171387,0.5688799917697906,14.465344071388245,9.208239793777466,,0.08804851677268744,0.08046207949519157,0.0,4,65536,107996.20550956565,151.56854187510908,2013743616.0,2617245696.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-train-formal-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-train-formal-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-train-formal-r3/summary.json
3090,formal-3-repeat-median,flash,eval,,,,,74.77982668206096,77.4243462830782,74.46364673227072,70.45580673217773,,,1.7568640112876892,1.539072036743164,0.6138880252838135,3.792157396674156,,206.0,1,16384,219096.52277825327,,1095626240.0,2059403264.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-eval-formal-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-eval-formal-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-eval-formal-r3/summary.json
3090,formal-3-repeat-median,flash,train,,,,,730.7780380360782,761.225710157305,728.7909992365167,122.68982315063477,591.8209991455078,0.5143360197544098,7.33542400598526,6.37798398733139,,0.8302852511405945,0.0744350254535675,206.0,4,65536,89679.7612803527,182.5748335076496,3276302848.0,3688890368.0,,,,,,,3,1;2;3,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-train-formal-r1/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-train-formal-r2/summary.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final-formal-current/flash-train-formal-r3/summary.json
