machine,passed,eval_hidden_max_abs,eval_hidden_relative_l2,eval_loss_abs,train_hidden_max_abs,train_loss_max_abs,gradient_max_abs,gradient_max_relative_l2,parameter_step_max_abs,source
2080ti,True,7.152557373046875e-07,2.2302252489225793e-08,0.0,4.76837158203125e-07,0.0,4.656612873077393e-10,1.4534240335706272e-06,1.4808028936386108e-07,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/equivalence/reference-vs-triton-deterministic-v2.json
3090,True,7.152557373046875e-07,2.2215640882450316e-08,0.0,4.76837158203125e-07,0.0,4.656612873077393e-10,1.5353842854892719e-06,1.601874828338623e-07,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/equivalence/reference-vs-triton-deterministic-v2.json
