machine,gpu_scope,stage,model,repeat_id,repeat_count,total_wall_seconds,train_wall_seconds_excluding_validation,validation_wall_seconds,optimizer_steps,precompiled,peak_allocated_bytes,source
2080ti,epoch-gpu0-preliminary,raw-repeat,flash,1,1,422.1891352131497,362.33482169290073,59.85431352024898,704,True,3822538240,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu0-preliminary/flash-r1.json
2080ti,epoch-gpu0-preliminary,raw-repeat,gdn,1,1,350.8218570461031,308.57862351695076,42.24323352915235,704,True,2550612992,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu0-preliminary/gdn-r1.json
2080ti,epoch-gpu1,raw-repeat,flash,1,1,389.542124546133,330.48956258408725,59.05256196204573,704,True,3822538240,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/flash-r1.json
2080ti,epoch-gpu1,raw-repeat,flash,2,1,386.03386700199917,328.010125718778,58.02374128322117,704,True,3822538240,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/flash-r2.json
2080ti,epoch-gpu1,raw-repeat,flash,3,1,386.91597972391173,329.3627978977747,57.553181826137006,704,True,3822538240,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/flash-r3.json
2080ti,epoch-gpu1,raw-repeat,gdn,1,1,273.3560287579894,241.2111277950462,32.14490096294321,704,True,2550612992,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/gdn-r1.json
2080ti,epoch-gpu1,raw-repeat,gdn,3,1,271.04536202712916,239.01309032924473,32.032271697884426,704,True,2550612992,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/gdn-r3.json
2080ti,epoch-gpu1,raw-repeat,gdn,4,1,274.6508931100834,242.18316862522624,32.46772448485717,704,True,2550612992,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/gdn-r4.json
2080ti,epoch-gpu0-preliminary,repeat-median,flash,1,1,422.1891352131497,362.33482169290073,59.85431352024898,704,True,3822538240,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu0-preliminary/flash-r1.json
2080ti,epoch-gpu0-preliminary,repeat-median,gdn,1,1,350.8218570461031,308.57862351695076,42.24323352915235,704,True,2550612992,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu0-preliminary/gdn-r1.json
2080ti,epoch-gpu1,repeat-median,flash,1;2;3,3,386.91597972391173,329.3627978977747,58.02374128322117,704,True,3822538240,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/flash-r1.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/flash-r2.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/flash-r3.json
2080ti,epoch-gpu1,repeat-median,gdn,1;3;4,3,273.3560287579894,241.2111277950462,32.14490096294321,704,True,2550612992,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/gdn-r1.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/gdn-r3.json;zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/epoch-gpu1/gdn-r4.json
