model,seed,checkpoint_role,slice,accuracy_2080ti,accuracy_3090,accuracy_delta_3090_minus_2080ti,dataset_hash_2080ti,dataset_hash_3090,dataset_hash_match
gdn,124,last,8190x2047,0.0033082559843673667,0.0036277479237909133,0.00031949193942354664,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
gdn,125,last,1024x256,0.9710859375,0.969359375,-0.0017265625000000284,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,True
gdn,125,last,2048x512,0.47774609375,0.48364453125,0.00589843750000002,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,True
gdn,125,last,4096x1024,0.069318359375,0.076255859375,0.006937499999999999,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,True
gdn,125,last,8190x512,0.293640625,0.30476171875,0.011121093750000033,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,True
gdn,125,last,8190x2047,0.0031568148510014655,0.0036873473375671714,0.0005305324865657059,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
flash,123,best,1024x256,0.97440625,0.953484375,-0.02092187499999998,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,True
flash,123,best,2048x512,0.8271640625,0.75187109375,-0.07529296874999991,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,True
flash,123,best,4096x1024,0.45906640625,0.37965625,-0.07941015625000003,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,True
flash,123,best,8190x512,0.71426171875,0.62615625,-0.08810546875000003,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,True
flash,123,best,8190x2047,0.15158964338055692,0.12397948216902785,-0.027610161211529066,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
flash,124,best,1024x256,0.9223359375,0.962140625,0.03980468749999999,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,True
flash,124,best,2048x512,0.55973046875,0.7778125,0.21808203125000003,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,True
flash,124,best,4096x1024,0.142392578125,0.389646484375,0.24725390625,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,True
flash,124,best,8190x512,0.339484375,0.63233984375,0.29285546874999996,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,True
flash,124,best,8190x2047,0.014347826086956521,0.11985930630190522,0.1055114802149487,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
flash,125,best,1024x256,0.971484375,0.977640625,0.006156250000000085,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,True
flash,125,best,2048x512,0.8087109375,0.84224609375,0.03353515625000003,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,True
flash,125,best,4096x1024,0.4252890625,0.490984375,0.06569531249999999,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,True
flash,125,best,8190x512,0.6818046875,0.7213984375,0.03959374999999998,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,True
flash,125,best,8190x2047,0.13614557889594528,0.1743771372740596,0.038231558378114316,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
