metric,step,epoch,timestamp,value
valid/num_kv_pairs/accuracy-16,1409,2,2026-05-19T05:06:10.121332+00:00,1.0
valid/num_kv_pairs/accuracy-16,2114,3,2026-05-19T05:07:19.425439+00:00,1.0
valid/num_kv_pairs/accuracy-16,2819,4,2026-05-19T05:08:29.271313+00:00,1.0
valid/num_kv_pairs/accuracy-256,704,1,2026-05-19T05:05:03.500962+00:00,0.514296875
valid/num_kv_pairs/accuracy-256,1409,2,2026-05-19T05:06:10.122045+00:00,0.651015625
valid/num_kv_pairs/accuracy-256,2114,3,2026-05-19T05:07:19.425995+00:00,0.69491796875
valid/num_kv_pairs/accuracy-256,2819,4,2026-05-19T05:08:29.271806+00:00,0.711828125
valid/num_kv_pairs/accuracy-32,704,1,2026-05-19T05:05:03.500633+00:00,1.0
valid/num_kv_pairs/accuracy-32,1409,2,2026-05-19T05:06:10.121560+00:00,1.0
valid/num_kv_pairs/accuracy-32,2114,3,2026-05-19T05:07:19.425506+00:00,1.0
valid/num_kv_pairs/accuracy-32,2819,4,2026-05-19T05:08:29.271451+00:00,1.0
valid/num_kv_pairs/accuracy-4,704,1,2026-05-19T05:05:03.500070+00:00,0.99975
valid/num_kv_pairs/accuracy-4,1409,2,2026-05-19T05:06:10.121173+00:00,0.99975
valid/num_kv_pairs/accuracy-4,2114,3,2026-05-19T05:07:19.425294+00:00,0.99975
valid/num_kv_pairs/accuracy-4,2819,4,2026-05-19T05:08:29.270976+00:00,0.99975
valid/num_kv_pairs/accuracy-64,704,1,2026-05-19T05:05:03.500739+00:00,0.9977265625
valid/num_kv_pairs/accuracy-64,1409,2,2026-05-19T05:06:10.121724+00:00,0.9992734375
valid/num_kv_pairs/accuracy-64,2114,3,2026-05-19T05:07:19.425572+00:00,0.9994140625
valid/num_kv_pairs/accuracy-64,2819,4,2026-05-19T05:08:29.271571+00:00,0.9994609375
valid/num_kv_pairs/accuracy-8,704,1,2026-05-19T05:05:03.500336+00:00,0.999875
valid/num_kv_pairs/accuracy-8,1409,2,2026-05-19T05:06:10.121260+00:00,0.999875
valid/num_kv_pairs/accuracy-8,2114,3,2026-05-19T05:07:19.425368+00:00,0.99975
valid/num_kv_pairs/accuracy-8,2819,4,2026-05-19T05:08:29.271177+00:00,0.999875
