source_id,arm,seed,checkpoint_role,checkpoint_model_state_sha256,case,input_seq_len,num_kv_pairs,num_examples,batch_size,accuracy,loss,dataset_hash,wall_clock_sec
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,256x64-n1000,256,64,1000,64,0.998484375,0.024001418100204317,b5a14d15ac1321e868ed153a60a440ab1170bf0bf9dbab035adeabc115b1a47d,8.324664464220405
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,512x64-n1000,512,64,1000,64,0.9946875,0.04749157208483666,bdc202e48037c839a7c56b7e1f7c9c7d6f368d38e006a46d739da726c94fd649,8.83135307021439
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,512x128-n1000,512,128,1000,64,0.9970078125,0.06695253264345229,042872131264d4b41ea03a6cdbf7733e3e4301ca773349ec9434d827bd9c4a5e,8.84586061257869
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,1024x256-n1000,1024,256,1000,64,0.97515234375,0.3044147009551525,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c,10.071703465655446
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,1024x256-n500,1024,256,500,64,0.9757109375,0.30424690079689026,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8.762331816367805
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,2048x512-n500,2048,512,500,32,0.83863671875,1.152912416100502,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,10.152226066216826
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,4096x1024-n500,4096,1024,500,16,0.487326171875,2.902687367916107,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,16.892755190841854
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,8190x512-n500,8190,512,500,8,0.7253359375,1.7260496733188628,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,39.545250724069774
3090-ctrl-bridge-s125-bf16-best,ctrl-bridge,125,best,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,8190x2047-n500,8190,2047,500,8,0.17415144407749175,5.014456302642822,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,40.7567255506292
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,64x4-n1000,64,4,1000,64,1.0,0.004241714898496866,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,8.407745101489127
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,64x8-n1000,64,8,1000,64,1.0,0.004253582501783967,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,8.229979725554585
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,64x16-n1000,64,16,1000,64,0.9999375,0.005949767199344933,7298e6d64228dc9b8e75d90a58ceed496d8665e6ebf015689030e2593ffbf970,8.04778344836086
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,128x32-n1000,128,32,1000,64,0.99653125,0.0257070449674502,a23066631270a2b388cbcbb247516054c1ccd018cd0270e1167315940e48a0a9,8.483384902589023
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,256x64-n1000,256,64,1000,64,0.998484375,0.024001418100204317,b5a14d15ac1321e868ed153a60a440ab1170bf0bf9dbab035adeabc115b1a47d,8.104580233804882
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,512x64-n1000,512,64,1000,64,0.9946875,0.04749157208483666,bdc202e48037c839a7c56b7e1f7c9c7d6f368d38e006a46d739da726c94fd649,8.604097474366426
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,512x128-n1000,512,128,1000,64,0.9970078125,0.06695253264345229,042872131264d4b41ea03a6cdbf7733e3e4301ca773349ec9434d827bd9c4a5e,8.618250313214958
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,1024x256-n1000,1024,256,1000,64,0.97515234375,0.3044147009551525,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c,9.512749885208905
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,1024x256-n500,1024,256,500,64,0.9757109375,0.30424690079689026,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8.555548647418618
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,2048x512-n500,2048,512,500,32,0.83863671875,1.152912416100502,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,10.103798253461719
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,4096x1024-n500,4096,1024,500,16,0.487326171875,2.902687367916107,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,17.23741266131401
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,8190x512-n500,8190,512,500,8,0.7253359375,1.7260496733188628,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,40.13370714336634
3090-ctrl-bridge-s125-bf16-last,ctrl-bridge,125,last,aac7fa5dcf8ce51695a4ff72d41470bd11833ea719222ab0a69cc80e3ce3b2c2,8190x2047-n500,8190,2047,500,8,0.17415144407749175,5.014456302642822,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,39.81163429748267
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,64x4-n1000,64,4,1000,64,0.99975,0.030484851321205497,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,7.884020590223372
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,64x8-n1000,64,8,1000,64,1.0,0.030423454616218804,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,7.606684477068484
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,64x16-n1000,64,16,1000,64,1.0,0.03187432553246617,7298e6d64228dc9b8e75d90a58ceed496d8665e6ebf015689030e2593ffbf970,7.793214843608439
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,128x32-n1000,128,32,1000,64,0.999875,0.0351137218773365,a23066631270a2b388cbcbb247516054c1ccd018cd0270e1167315940e48a0a9,7.898408465087414
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,256x64-n1000,256,64,1000,64,0.99621875,0.1155502759926021,b5a14d15ac1321e868ed153a60a440ab1170bf0bf9dbab035adeabc115b1a47d,8.57277803029865
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,512x64-n1000,512,64,1000,64,0.994015625,0.1423654764033854,bdc202e48037c839a7c56b7e1f7c9c7d6f368d38e006a46d739da726c94fd649,8.510504412464797
