target,config_family,machine,gpu,gpu_index,seed,data_seed,codebook_size,rank,read_topk,read_control,write_topk,write_cap,beta_control,max_epochs,validations_per_epoch,status,error,log_error_count,started_at_utc,ended_at_utc,wall_clock_sec,num_validation_points,hard_curve_dedup,first_non_initial_hard,best_validation_index,best_hard_1024x256,final_hard_1024x256,best_final_gap,final_valid_accuracy,final_valid_loss,final_read_topk_effective,observed_effective_readk_values_in_stdout,final_read_margin_top1_top2_mean,final_read_margin_top1_top2_p05,final_read_entropy_mean,final_read_selected_mass_mean,final_read_selected_mass_p05,final_lambda_mean,final_inject_ratio,final_m_norm_mean,final_m_norm_max,max_m_norm_max_over_valid,final_sum_zeta_mean,final_sum_zeta_p95,final_sum_zeta_max,final_write_strength_mean,final_write_strength_p95,final_write_strength_max,final_raw_topk_mass_mean,final_raw_topk_mass_p05,final_write_q_entropy_mean,final_write_q_top1_mean,final_beta_mean,final_beta_max,final_mu_valid_ratio,final_vq_c_entropy,final_vq_write_entropy_mean,final_vq_write_top1_mass_mean
cb256r8-readk4-s123,cb256-r8,mclab-3090,3090,0,123,123,256,8,4,fixed_readk4,4,,hard_cap,4,2,completed,,0,2026-06-22T04:15:17.333641+00:00,2026-06-22T07:15:40.925509+00:00,10823.591868,8,0.000734/0.964/0.982/0.983/0.988/0.989/0.992/0.992,0.964,6,0.992,0.992,0.0,0.997,0.0328,4.0,4,0.65,0.0,1.27,0.283,0.0,0.122,0.164,0.0121,1.85,1.86,0.0769,0.172,0.21,0.0192,0.0452,0.0898,0.542,0.152,1.37,0.314,0.0769,0.21,0.407,3.64,3.33,0.166
cb256r4-readk4-s123,cb256-r4,mclab-3090,3090,0,123,123,256,4,4,fixed_readk4,4,,hard_cap,4,2,completed,,0,2026-06-22T04:15:17.408682+00:00,2026-06-22T07:44:22.026226+00:00,12544.617544,8,0.000191/0.892/0.938/0.953/0.959/0.963/0.965/0.965,0.892,6,0.965,0.965,0.0,0.993,0.0801,4.0,4,0.552,0.0,1.15,0.304,0.0,0.253,0.203,0.00557,0.376,1.4,0.00909,0.0243,0.0301,0.00227,0.00615,0.0157,0.433,0.116,1.32,0.367,0.00909,0.0301,0.456,4.02,3.49,0.163
cb128r8-readk4-s125-repeat,cb128-r8,mclab-3090,3090,0,125,123,128,8,4,fixed_readk4,4,,hard_cap,4,2,completed,,0,2026-06-22T04:15:17.584605+00:00,2026-06-22T07:44:14.492986+00:00,12536.908381,8,0.000266/0.913/0.932/0.946/0.95/0.963/0.966/0.967,0.913,7,0.967,0.967,0.0,0.993,0.073,4.0,4,0.959,0.0,0.747,0.376,0.0,0.297,0.0868,0.0586,13.8,13.8,0.0923,0.585,0.71,0.0231,0.187,0.363,0.694,0.239,1.24,0.401,0.0923,0.71,0.501,2.86,2.56,0.28
