config_family,condition,seed,replicate,launch_id,run_id,status,read_topk,max_epochs,valid_mqar_case_accuracy_1024x256_curve,final_valid_mqar_case_accuracy_1024x256,final_valid_accuracy,notes
cb256-r4,ordinary_normal_readk2,124,r1,flash-vqg-20260530-gd-seed-diag-d1-s124-2026-05-31-18-53-50,gd-diag-cb256r4-fix-rerun-s124-r1-d123-b64-ga4-fp32-noearly4ep,completed,2,4,0.000461/0.330/0.543/0.694/0.724/0.753/0.762/0.772,0.77246484375,0.96091650390625,old low path under default phase2 read_topk=2
cb256-r4,ordinary_normal_readk2,125,r1,flash-vqg-20260530-gd-seed-diag-d1-s125-2026-05-31-19-21-27,gd-diag-cb256r4-fix-rerun-s125-r1-d123-b64-ga4-fp32-noearly4ep,completed,2,4,0.000531/0.814/0.900/0.927/0.941/0.948/0.953/0.956,0.956375,0.9899755859375,old high path under default phase2 read_topk=2
cb256-r4,runtime_probe_readk4,124,r2,runtime-probe-s124-readk4-4ep-r2,NA,completed,4,4,0.000578/0.896742/0.948141/0.958484/0.964207/0.970293/0.972176/0.973395,0.97339453125,0.99286279296875,runtime monkeypatch probe with read_topk=4
cb256-r4,runtime_probe_readk4,125,r2,runtime-probe-s125-readk4-4ep-r2,NA,completed,4,4,0.000555/0.874676/0.905816/0.924152/0.941324/0.939203/0.948559/0.948074,0.94807421875,0.98963037109375,runtime monkeypatch probe with read_topk=4
cb256-r4,ordinary_formal_readk4,124,r1c,flash-vqg-20260530-gd-seed-diag-formal-readk4-s124-r1c-2026-06-02-04-25-29,gd-diag-formal-readk4-s124-r1c-d123-b64-ga4-fp32-noearly4ep,completed,4,4,0.000367/0.876/0.906/0.917/0.932/0.938/0.943,0.943,0.986,ordinary run_train path; manifest confirmed read_topk=4
cb256-r4,ordinary_formal_readk4,124,r2c,flash-vqg-20260530-gd-seed-diag-formal-readk4-s124-r2c-2026-06-02-07-28-27,gd-diag-formal-readk4-s124-r2c-d123-b64-ga4-fp32-noearly4ep,completed,4,4,0.000375/0.899/0.930/0.937/0.954/0.950/0.959/0.958,0.958,0.991,ordinary run_train rerun; manifest confirmed read_topk=4
cb256-r4,ordinary_formal_readk4,125,r1c,flash-vqg-20260530-gd-seed-diag-formal-readk4-s125-r1c-2026-06-02-07-06-03,gd-diag-formal-readk4-s125-r1c-d123-b64-ga4-fp32-noearly4ep,completed,4,4,0.000594/0.870/0.908/0.929/0.938/0.932/0.945/0.944,0.944,0.989,ordinary run_train cross-seed; manifest confirmed read_topk=4
cb256-r4,readk8_counterexample,124,runtime_probe_readk8_1ep,NA,NA,completed,8,1,0.000215/0.079113,0.079113,NA,read side candidate coverage is not monotonic; top8 hurts s124
cb256-r4,readk4_lambda015_counterexample,124,runtime_probe_readk4_lambda015_1ep,NA,NA,completed,4,1,0.000445/0.428566,0.428566,NA,stronger early lambda is not sufficient
cb256-r4,pseudo_det_readk2,124,r1,flash-vqg-20260530-gd-seed-diag-d1-s124-det-2026-05-31-07-30-18,gd-diag-d1-s124-det-d123-b64-ga4-fp32-noearly4ep,completed,2,4,NA,0.95114453125,0.98820849609375,special pseudo-det high path; not ordinary normal baseline
cb256-r4,pseudo_det_readk2,125,r1,flash-vqg-20260530-gd-seed-diag-d1-s125-det-2026-05-31-07-30-29,gd-diag-d1-s125-det-d123-b64-ga4-fp32-noearly4ep,completed,2,4,NA,0.9515859375,0.9892705078125,special pseudo-det high path; not ordinary normal baseline
