experiment_id,machine,queue,target,variant,gpu,status,started_at,finished_at,duration_seconds,duration_minutes,run_id,launch_id,embed_dropout,resid_dropout,drop_path,max_epochs,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,best_final_1024x256_gap,n_validation_summaries,n_validation_summary_lines,log_path,log_sha256,result_json,result_sha256,config_json,config_sha256,zoology_commit,flash_vqg_commit
20260628-02-flash-vqg-no-dropout-4ep-confirm,2080ti,2080ti-gpu0,no-dropout-4ep-s123-r1,no-dropout,0,completed,2026-06-28T03:18:46+08:00,2026-06-28T09:23:46+08:00,21900.0,365.0,20260628-02-flash-vqg-no-dropout-4ep-confirm-no-dropout-s123-r1-d123-b64ga4-2080ti,fvqg-20260628-02-flash-vqg-no-dropout-4ep-confirm-2080ti-no-dropout-4ep-s123-r1,0.0,0.0,0.0,4,0.222,0.972,0.972,0.84,0.841,0.0010000000000000009,16,32,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/2080ti-gpu0-20260627T191832Z/logs/no-dropout-4ep-s123-r1.log,1c8d7a72dd74c94104dbbf2e3850156f2d6676737b8426c40c52ae676cab198b,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/2080ti-gpu0-20260627T191832Z/results/no-dropout-4ep-s123-r1.json,5d862f44d461004fa3a38c376968e92a1f489d0bc475278dd955680f3cf46cc5,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/2080ti-gpu0-20260627T191832Z/configs/no-dropout-4ep-s123-r1.json,e5c0f3812ec3dd3756252b5cb86829b177146976b34e832ad971736220d7d56d,eb21661,1e7ed33
20260628-02-flash-vqg-no-dropout-4ep-confirm,3090,3090-gpu0,no-dropout-4ep-s123-r1,no-dropout,0,completed,2026-06-27T19:18:44+00:00,2026-06-27T23:23:44+00:00,14700.0,245.0,20260628-02-flash-vqg-no-dropout-4ep-confirm-no-dropout-s123-r1-d123-b64ga4-3090,fvqg-20260628-02-flash-vqg-no-dropout-4ep-confirm-3090-no-dropout-4ep-s123-r1,0.0,0.0,0.0,4,0.278,0.962,0.964,0.79,0.803,0.013000000000000012,16,32,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/3090-gpu0-20260627T191832Z/logs/no-dropout-4ep-s123-r1.log,a5de609caf5cc5bf5071e2bd0d01e643fa7ce42f8aa8bdfed0a1154fbf04e39b,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/3090-gpu0-20260627T191832Z/results/no-dropout-4ep-s123-r1.json,79bc1219c86dcd1b1721e5b4a177810ee9088793e04846c9f6994dfd9d17a1c1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/3090-gpu0-20260627T191832Z/configs/no-dropout-4ep-s123-r1.json,15c78443e2aa3bfbc4bfb6757b9500f5de8e1071ed694af14dc3e7a2e00793cd,eb21661,1e7ed33
20260628-02-flash-vqg-no-dropout-4ep-confirm,3090,3090-gpu0,no-dropout-4ep-s123-r2,no-dropout,0,completed,2026-06-27T23:23:44+00:00,2026-06-28T03:28:44+00:00,14700.0,245.0,20260628-02-flash-vqg-no-dropout-4ep-confirm-no-dropout-s123-r2-d123-b64ga4-3090,fvqg-20260628-02-flash-vqg-no-dropout-4ep-confirm-3090-no-dropout-4ep-s123-r2,0.0,0.0,0.0,4,0.298,0.958,0.963,0.762,0.798,0.03600000000000003,16,32,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/3090-gpu0-20260627T191832Z/logs/no-dropout-4ep-s123-r2.log,864a132b9b883305c15429494b0cfc550ae6866685e5a2b8c317f112e9875ce4,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/3090-gpu0-20260627T191832Z/results/no-dropout-4ep-s123-r2.json,dde4590776c7dc072d8a3acde8fad27366a2120b8080524225a32b966940e576,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260628-02-flash-vqg-no-dropout-4ep-confirm/outputs/3090-gpu0-20260627T191832Z/configs/no-dropout-4ep-s123-r2.json,eddd78024b5525cb3d1919a8b8d2ffaf4fb1ee48dd922a5e77377cd5d2d71aa1,eb21661,1e7ed33
