abs_diff_from_ref,accuracy,batch_candidates,checkpoint_path,checkpoint_sha256,ci95_high,ci95_low,config_override,correct,dataset_hash,eval_batch_size,eval_seed,failure_detail,failure_type,fallback_count,fallback_failures,model_label,n,official_accuracy_ref,official_dataset_hash_ref,peak_memory_mb,run_status,sanity_status,seed,slice_num_kv_pairs,slice_seq_len,source_config_family,source_model_family,source_run_id,stderr,variant,variant_label,wall_clock_sec
,0.3198320312,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,250673e5758e635a85ce6830c733f5549a7a0393a3776ed0fceeb3ab43c5fd9e,0.3216388108,0.3180252517,{},81877,c0d72f24f32e8afcd192453a15113cee60455375a8563fbf8b3cfd3ba191f68f,8,123,,,0,[],gdn-h2-ev8-s123,256000,,,1053.603,completed,no_ref,123,512,4096,gdn-h2-ev8-usegate0,gdn,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,0.0009218263,full,gdn-h2-ev8-s123:full,26.800
0.0001914062,0.1039218750,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,250673e5758e635a85ce6830c733f5549a7a0393a3776ed0fceeb3ab43c5fd9e,0.1047577619,0.1030859881,{},53208,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,8,123,,,0,[],gdn-h2-ev8-s123,512000,0.10373046875,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,1053.603,invalid,invalid,123,1024,4096,gdn-h2-ev8-usegate0,gdn,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,0.0004264729,full,gdn-h2-ev8-s123:full,0.926
0.0002734375,0.7046875000,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev16-s123-2026-05-20-05-11-12/gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,01e210b0ddc0e41864436ae94c1e7b4ad811155735db5d91ba1b71bad87a782d,0.7071866383,0.7021883617,{},90200,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],gdn-h2-ev16-s123,128000,0.7044140625,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,634.745,invalid,invalid,123,256,1024,gdn-h2-ev16-usegate0,gdn,gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep,0.0012750705,full,gdn-h2-ev16-s123:full,30.347
0.0001523438,0.2860625000,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev16-s123-2026-05-20-05-11-12/gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,01e210b0ddc0e41864436ae94c1e7b4ad811155735db5d91ba1b71bad87a782d,0.2878131392,0.2843118608,{},73232,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],gdn-h2-ev16-s123,256000,0.28591015625,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,743.120,invalid,invalid,123,512,2048,gdn-h2-ev16-usegate0,gdn,gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep,0.0008931833,full,gdn-h2-ev16-s123:full,5.021
,0.2539257812,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev16-s123-2026-05-20-05-11-12/gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,01e210b0ddc0e41864436ae94c1e7b4ad811155735db5d91ba1b71bad87a782d,0.2556118703,0.2522396922,{},65005,c0d72f24f32e8afcd192453a15113cee60455375a8563fbf8b3cfd3ba191f68f,8,123,,,0,[],gdn-h2-ev16-s123,256000,,,1471.870,completed,no_ref,123,512,4096,gdn-h2-ev16-usegate0,gdn,gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep,0.0008602495,full,gdn-h2-ev16-s123:full,5.480
0.0000566406,0.0849902344,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev16-s123-2026-05-20-05-11-12/gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,01e210b0ddc0e41864436ae94c1e7b4ad811155735db5d91ba1b71bad87a782d,0.0857541026,0.0842263661,{},43515,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,8,123,,,0,[],gdn-h2-ev16-s123,512000,0.08493359375,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,1471.870,completed,passed,123,1024,4096,gdn-h2-ev16-usegate0,gdn,gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep,0.0003897287,full,gdn-h2-ev16-s123:full,1.124
0.0003906250,0.8615234375,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev10-s123-2026-05-20-08-36-24/gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,98ff23b8e6f033f6c87a3f3597bc5ce4efba730477b810dd39fc1cb866d6d54a,0.8634156625,0.8596312125,{},110275,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],gdn-h2-ev10-s123,128000,0.8611328125,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,513.982,invalid,invalid,123,256,1024,gdn-h2-ev10-usegate0,gdn,gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep,0.0009654209,full,gdn-h2-ev10-s123:full,30.475
0.0005117188,0.3642031250,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev10-s123-2026-05-20-08-36-24/gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,98ff23b8e6f033f6c87a3f3597bc5ce4efba730477b810dd39fc1cb866d6d54a,0.3660672160,0.3623390340,{},93236,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],gdn-h2-ev10-s123,256000,0.36369140625,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,533.732,invalid,invalid,123,512,2048,gdn-h2-ev10-usegate0,gdn,gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep,0.0009510669,full,gdn-h2-ev10-s123:full,4.764
,0.2922187500,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev10-s123-2026-05-20-08-36-24/gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,98ff23b8e6f033f6c87a3f3597bc5ce4efba730477b810dd39fc1cb866d6d54a,0.2939804812,0.2904570188,{},74808,c0d72f24f32e8afcd192453a15113cee60455375a8563fbf8b3cfd3ba191f68f,8,123,,,0,[],gdn-h2-ev10-s123,256000,,,1053.857,completed,no_ref,123,512,4096,gdn-h2-ev10-usegate0,gdn,gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep,0.0008988425,full,gdn-h2-ev10-s123:full,5.756
0.0001328125,0.0767089844,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev10-s123-2026-05-20-08-36-24/gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,98ff23b8e6f033f6c87a3f3597bc5ce4efba730477b810dd39fc1cb866d6d54a,0.0774379608,0.0759800079,{},39275,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,8,123,,,0,[],gdn-h2-ev10-s123,512000,0.076576171875,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,1053.857,invalid,invalid,123,1024,4096,gdn-h2-ev10-usegate0,gdn,gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep,0.0003719268,full,gdn-h2-ev10-s123:full,0.960
