variant,machine,source_json,source_sha256,cache_match_expected,init_match_expected,batch_order_sha256,first_loss,first_preds_sha256,first_logits_sha256,optimizer_step1_avg_loss,optimizer_step1_params_sha256,shadow_dense_metric_count,embed_dropout,resid_dropout,drop_path
baseline,2080ti,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/probe-2080ti-baseline-v2.json,0077ff491a7f7e124045e71a7b95e8a7dfa6819a522cdd051300fb2389129087,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.864863395690918,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,53744b537ba9504a0dfa08d4028b6a8bc2de1ddb125189681c4a9c84b13ba87e,10.846040964126587,175e5d85c5c0cc39cd788496a2f47853c107fd889800382fdb1a1b3d338dd72b,0,0.1,0.0,0.0
baseline,3090,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/3090-mirror/probe-3090-baseline-v2.json,b6a1e75bfe7fa1e9b42ebbd141bf72149693f404a91a2776d937e3456274b027,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.880036354064941,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,7d2c99d7d287b435ffe2786334ce36243700221577bc007a28cdfae5dd707bae,10.847966194152832,5d6bccac263971571fd0fe189a758ed5514f5aafd328adff88c949a994ef56c1,0,0.1,0.0,0.0
strict-fp32,2080ti,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/probe-2080ti-strict-fp32-v2.json,a0b9dc51eb65831ab68c9111269ddbbbd6f9c0d79925f81b1225d91a98a99ee4,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.864863395690918,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,53744b537ba9504a0dfa08d4028b6a8bc2de1ddb125189681c4a9c84b13ba87e,10.846040964126587,175e5d85c5c0cc39cd788496a2f47853c107fd889800382fdb1a1b3d338dd72b,0,0.1,0.0,0.0
strict-fp32,3090,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/3090-mirror/probe-3090-strict-fp32-v2.json,5cfc2138b925112c6496bf90fb6a5f7e07a7e433582623e526f8cc7e8c805243,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.880036354064941,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,7d2c99d7d287b435ffe2786334ce36243700221577bc007a28cdfae5dd707bae,10.847966194152832,5d6bccac263971571fd0fe189a758ed5514f5aafd328adff88c949a994ef56c1,0,0.1,0.0,0.0
shadow-read,2080ti,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/probe-2080ti-shadow-read-v2.json,1d3198b9dd4b6f4ba9233481dd0f40cb0ab2bb9089d9cc0313e6dbf50db14291,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.864863395690918,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,53744b537ba9504a0dfa08d4028b6a8bc2de1ddb125189681c4a9c84b13ba87e,10.846040964126587,175e5d85c5c0cc39cd788496a2f47853c107fd889800382fdb1a1b3d338dd72b,18,0.1,0.0,0.0
shadow-read,3090,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/3090-mirror/probe-3090-shadow-read-v2.json,b77a832cf60332bec8036632f064d784d8b1965193016bd5c4fd725d31efa020,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.880036354064941,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,7d2c99d7d287b435ffe2786334ce36243700221577bc007a28cdfae5dd707bae,10.847966194152832,5d6bccac263971571fd0fe189a758ed5514f5aafd328adff88c949a994ef56c1,18,0.1,0.0,0.0
no-dropout,2080ti,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/probe-2080ti-no-dropout.json,713154515fbb867d0e6b31df26bedb3defbc869b9039df346bf52677734bf0ca,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.871895790100098,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,459baa4b02f43dc4a12a8c5c0e19a62ecc02949ec1150d44920460ee48983f56,10.848147869110107,c815a27f0f58c01fd3f440f0c45d90ceeedf26a902559f5e681dc9ed28744ac9,0,0.0,0.0,0.0
no-dropout,3090,zoology/experiments/flash_vqg/scripts/20260627-03-flash-vqg-first-divergence-probe/outputs/3090-mirror/probe-3090-no-dropout-v2.json,5a7ada052ce0aab3b196570daf408f563cb4eae05696b5c42c0dd17f3567f5c0,True,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,10.871895790100098,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,aacba0b5381f33488466dbcb0e95afc2cbcda4f5a9a0fc94cb192873c6e820df,10.848147869110107,511a922aca5aa9a37897abf89683072fcd35410f26fdc27769d67562e7d594ca,0,0.0,0.0,0.0
