run_id,model_family,branch,commit,seed,data_seed,d_model,n_layers,num_heads,expand_k,expand_v,per_head_k,per_head_v,active_state_capacity,trainable_params,kernel_path,kernel_dtype,dtype_policy,gpu,gpu_name,compute_capability,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,configured_max_epochs,smoke_started_at_utc,smoke_ended_at_utc,smoke_wall_clock_sec,trainability_status,training_started,ledger_rows_added,failure_reason,official_ledger_policy
gdnxk-h2-ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,GatedDeltaNetExpandedK,flash-vqg,b83328a,123,123,128,2,2,4,4,256,256,131072,1335942,FLA chunk_gated_delta_rule,float32,float32,0,NVIDIA GeForce RTX 2080 Ti,sm75,64,16,4,256,4,2026-05-26T05:37:36Z,2026-05-26T05:45:41Z,485,smoke_forward_backward_passed,false,0,"Phase 0 only; not a formal training run. First forward/backward included Triton/FLA compile and took about 432.776 sec.","do_not_write_smoke_to_official_ledger"
gdnxk-h2-ek8-ev2-s123-d123-b64-ga4-fp32-noearly4ep,GatedDeltaNetExpandedK,flash-vqg,b83328a,123,123,128,2,2,8,2,512,128,131072,1404422,FLA chunk_gated_delta_rule,float32,float32,0,NVIDIA GeForce RTX 2080 Ti,sm75,64,16,4,256,4,2026-05-26T05:37:36Z,2026-05-26T05:45:41Z,485,blocked_by_kernel_limit,false,0,"AssertionError: current kernel does not support head dimension larger than 256. FLA chunk state-update kernel requires per-head K<=256.","do_not_write_failed_or_blocked_run_to_official_ledger"
gdnxk-h2-ek16-ev1-s123-d123-b64-ga4-fp32-noearly4ep,GatedDeltaNetExpandedK,flash-vqg,b83328a,123,123,128,2,2,16,1,1024,64,131072,1641414,FLA chunk_gated_delta_rule,float32,float32,0,NVIDIA GeForce RTX 2080 Ti,sm75,64,16,4,256,4,2026-05-26T05:37:36Z,2026-05-26T05:45:41Z,485,not_launched_same_kernel_limit,false,0,"Not launched because ek8-ev2 exposed the same FLA K<=256 chunk state-update kernel limit; true endpoint needs per-head K=1024.","do_not_write_not_launched_run_to_official_ledger"
