run_id,seed,metric,value,epoch,step,timestamp
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,124,valid/num_kv_pairs/accuracy-4,0.99975,8,2823,2026-05-26T20:02:09.507365+00:00
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,124,valid/num_kv_pairs/accuracy-8,0.999875,8,2823,2026-05-26T20:02:09.507451+00:00
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,124,valid/num_kv_pairs/accuracy-16,1.0,8,2823,2026-05-26T20:02:09.507522+00:00
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,124,valid/num_kv_pairs/accuracy-32,1.0,8,2823,2026-05-26T20:02:09.507589+00:00
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,124,valid/num_kv_pairs/accuracy-64,0.99975,8,2823,2026-05-26T20:02:09.507838+00:00
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,124,valid/num_kv_pairs/accuracy-128,0.9974140625,8,2823,2026-05-26T20:02:09.507973+00:00
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,124,valid/num_kv_pairs/accuracy-256,0.786109375,8,2823,2026-05-26T20:02:09.508151+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-64x4,0.9995,8,2823,2026-05-26T19:47:00.374115+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-64x8,0.999875,8,2823,2026-05-26T19:47:00.374225+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-64x16,1.0,8,2823,2026-05-26T19:47:00.373993+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-128x32,1.0,8,2823,2026-05-26T19:47:00.373455+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-256x64,0.999890625,8,2823,2026-05-26T19:47:00.373581+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-512x64,0.99775,8,2823,2026-05-26T19:47:00.373876+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-512x128,0.9888203125,8,2823,2026-05-26T19:47:00.373740+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/mqar_case/accuracy-1024x256,0.615984375,8,2823,2026-05-26T19:47:00.373389+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/input_seq_len/accuracy-64,0.9997916666666666,8,2823,2026-05-26T19:47:00.372860+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/input_seq_len/accuracy-128,1.0,8,2823,2026-05-26T19:47:00.372961+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/input_seq_len/accuracy-256,0.999890625,8,2823,2026-05-26T19:47:00.373101+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/input_seq_len/accuracy-512,0.99328515625,8,2823,2026-05-26T19:47:00.373196+00:00
