summary_scope,comparison_scope,config_family,config,rank,seed,data_seed,num_codebook_vectors,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,max_epochs_source,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,replicate_id,run_type,gpu,dynamic_capacity,relative_to_gdn,status,trainable_params,zoology_state_size_metric_seq1024,elapsed_sec,wall_clock,started_at_utc,ended_at_utc,gpu_name,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_mqar_case_accuracy_512x64,valid_mqar_case_accuracy_256x64,valid_input_seq_len_accuracy_512,valid_input_seq_len_accuracy_1024,valid_num_kv_pairs_accuracy_128,valid_num_kv_pairs_accuracy_256,source_artifact,source_precision,source_run_set,run_id,note,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,actual_kernel_dtype,dtype_comparison_scope,official_scope,metadata_verification_level,train_config_path,last_checkpoint_path,best_checkpoint_path,metadata_backfill_status
epoch4_final_only,gd_residual_v1_current_baseline_longer_mqar_b64_ga4_fp32,cb64-r16-joint,baseline-r16-joint-s123-d123,16,123,123,64,64,16,4,256,b64_ga4,4,explicit max_epochs=4; current baseline Longer-MQAR retraining,4,4,16,epoch_end,epoch4_noearly_b64_ga4_fp32,true,crossgpu1,current_baseline_length_generalization_4ep_crossgpu,0,131072,1.00x,completed,1160390,624640,1370.1035380652174,00:22:50,2026-07-25T03:56:31.781082+00:00,2026-07-25T04:19:21.884615+00:00,NVIDIA GeForce RTX 3090,0.08201234726676909,0.99205859375,0.953703125,0.994671875,0.994125,0.9983125,0.9943984375,0.953703125,0.994671875,0.953703125,docs/artifacts/20260725-01-current-baselines-longer-mqar/machines/3090/training-final.csv,full_precision,20260725_01_current_baselines_longer_mqar_3090,flash-s123-fixedinit-s124-d123-b64ga4-3090-formal,Current baseline 4ep retraining on 3090 from fixed family-specific canonical seed124 init; Longer-MQAR source run.,float32,float32,float32,float32,float32,float32_only,b64_ga4_fp32_official,verified_runtime_artifact,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s123-fixedinit-s124-d123-b64ga4-3090-formal/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s123-fixedinit-s124-d123-b64ga4-3090-formal/last.pt,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s123-fixedinit-s124-d123-b64ga4-3090-formal/best.pt,native_artifact_metadata_normalized
epoch4_final_only,gd_residual_v1_current_baseline_longer_mqar_b64_ga4_fp32,cb64-r16-joint,baseline-r16-joint-s124-d123,16,124,123,64,64,16,4,256,b64_ga4,4,explicit max_epochs=4; current baseline Longer-MQAR retraining,4,4,16,epoch_end,epoch4_noearly_b64_ga4_fp32,true,crossgpu1,current_baseline_length_generalization_4ep_crossgpu,0,131072,1.00x,completed,1160390,624640,1396.4848329322413,00:23:16,2026-07-25T04:49:12.104887+00:00,2026-07-25T05:12:28.589712+00:00,NVIDIA GeForce RTX 3090,0.0726760591958679,0.99335498046875,0.96164453125,0.9951328125,0.994671875,0.998328125,0.99490234375,0.96164453125,0.9951328125,0.96164453125,docs/artifacts/20260725-01-current-baselines-longer-mqar/machines/3090/training-final.csv,full_precision,20260725_01_current_baselines_longer_mqar_3090,flash-s124-fixedinit-s124-d123-b64ga4-3090-formal,Current baseline 4ep retraining on 3090 from fixed family-specific canonical seed124 init; Longer-MQAR source run.,float32,float32,float32,float32,float32,float32_only,b64_ga4_fp32_official,verified_runtime_artifact,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s124-fixedinit-s124-d123-b64ga4-3090-formal/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s124-fixedinit-s124-d123-b64ga4-3090-formal/last.pt,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s124-fixedinit-s124-d123-b64ga4-3090-formal/best.pt,native_artifact_metadata_normalized
epoch4_final_only,gd_residual_v1_current_baseline_longer_mqar_b64_ga4_fp32,cb64-r16-joint,baseline-r16-joint-s125-d123,16,125,123,64,64,16,4,256,b64_ga4,4,explicit max_epochs=4; current baseline Longer-MQAR retraining,4,4,16,epoch_end,epoch4_noearly_b64_ga4_fp32,true,crossgpu1,current_baseline_length_generalization_4ep_crossgpu,0,131072,1.00x,completed,1160390,624640,1409.72368635796,00:23:29,2026-07-25T05:40:51.988953+00:00,2026-07-25T06:04:21.712636+00:00,NVIDIA GeForce RTX 3090,0.05971379480869805,0.99549755859375,0.97678515625,0.9974765625,0.994578125,0.998609375,0.99602734375,0.97678515625,0.9974765625,0.97678515625,docs/artifacts/20260725-01-current-baselines-longer-mqar/machines/3090/training-final.csv,full_precision,20260725_01_current_baselines_longer_mqar_3090,flash-s125-fixedinit-s124-d123-b64ga4-3090-formal,Current baseline 4ep retraining on 3090 from fixed family-specific canonical seed124 init; Longer-MQAR source run.,float32,float32,float32,float32,float32,float32_only,b64_ga4_fp32_official,verified_runtime_artifact,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s125-fixedinit-s124-d123-b64ga4-3090-formal/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s125-fixedinit-s124-d123-b64ga4-3090-formal/last.pt,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/flash-s125-fixedinit-s124-d123-b64ga4-3090-formal/best.pt,native_artifact_metadata_normalized
