machine,model,seed,slice,last_accuracy,best_accuracy,best_minus_last
3090,flash,123,1024x256,0.953484375,0.953484375,0.0
3090,flash,123,2048x512,0.75187109375,0.75187109375,0.0
3090,flash,123,4096x1024,0.37965625,0.37965625,0.0
3090,flash,123,8190x512,0.62615625,0.62615625,0.0
3090,flash,123,8190x2047,0.12397948216902785,0.12397948216902785,0.0
3090,flash,124,1024x256,0.962140625,0.962140625,0.0
3090,flash,124,2048x512,0.7778125,0.7778125,0.0
3090,flash,124,4096x1024,0.389646484375,0.389646484375,0.0
3090,flash,124,8190x512,0.63233984375,0.63233984375,0.0
3090,flash,124,8190x2047,0.11985930630190522,0.11985930630190522,0.0
3090,flash,125,1024x256,0.977640625,0.977640625,0.0
3090,flash,125,2048x512,0.84224609375,0.84224609375,0.0
3090,flash,125,4096x1024,0.490984375,0.490984375,0.0
3090,flash,125,8190x512,0.7213984375,0.7213984375,0.0
3090,flash,125,8190x2047,0.1743771372740596,0.1743771372740596,0.0
3090,gdn,123,1024x256,0.97,0.97,0.0
3090,gdn,123,2048x512,0.47810546875,0.47810546875,0.0
3090,gdn,123,4096x1024,0.073572265625,0.073572265625,0.0
3090,gdn,123,8190x512,0.295875,0.295875,0.0
3090,gdn,123,8190x2047,0.0035251587689301414,0.0035251587689301414,0.0
3090,gdn,124,1024x256,0.9668515625,0.9668515625,0.0
3090,gdn,124,2048x512,0.47482421875,0.47482421875,0.0
3090,gdn,124,4096x1024,0.075236328125,0.075236328125,0.0
3090,gdn,124,8190x512,0.29505859375,0.29505859375,0.0
3090,gdn,124,8190x2047,0.0036277479237909133,0.0036277479237909133,0.0
3090,gdn,125,1024x256,0.969359375,0.969359375,0.0
3090,gdn,125,2048x512,0.48364453125,0.48364453125,0.0
3090,gdn,125,4096x1024,0.076255859375,0.076255859375,0.0
3090,gdn,125,8190x512,0.30476171875,0.30476171875,0.0
3090,gdn,125,8190x2047,0.0036873473375671714,0.0036873473375671714,0.0
