machine,failures,model,selected_batch_size,slice
3090,,flash,32,1024x256
3090,,flash,32,2048x512
3090,,flash,32,4096x1024
3090,b32:oom,flash,16,8190x512
3090,b32:oom,flash,16,8190x2047
3090,,gdn,32,1024x256
3090,,gdn,32,2048x512
3090,,gdn,32,4096x1024
3090,b32:oom,gdn,16,8190x512
3090,b32:oom,gdn,16,8190x2047
