machine,checkpoint_role,slice,flash_accuracy_s123,gdn_accuracy_s123,paired_delta_s123,flash_accuracy_s124,gdn_accuracy_s124,paired_delta_s124,flash_accuracy_s125,gdn_accuracy_s125,paired_delta_s125,mean_paired_delta,positive_seed_count,classification
3090,last,1024x256,0.953484375,0.97,-0.016515624999999923,0.962140625,0.9668515625,-0.0047109375000000675,0.977640625,0.969359375,0.008281250000000018,-0.004315104166666657,1,不支持Flash领先
3090,last,2048x512,0.75187109375,0.47810546875,0.27376562500000007,0.7778125,0.47482421875,0.30298828125,0.84224609375,0.48364453125,0.3586015625,0.31178515625000003,3,稳健领先
3090,last,4096x1024,0.37965625,0.073572265625,0.30608398437499995,0.389646484375,0.075236328125,0.31441015625,0.490984375,0.076255859375,0.41472851562499996,0.34507421875,3,稳健领先
3090,last,8190x512,0.62615625,0.295875,0.33028124999999997,0.63233984375,0.29505859375,0.33728125,0.7213984375,0.30476171875,0.41663671874999997,0.36139973958333327,3,稳健领先
3090,last,8190x2047,0.12397948216902785,0.0035251587689301414,0.12045432340009771,0.11985930630190522,0.0036277479237909133,0.1162315583781143,0.1743771372740596,0.0036873473375671714,0.17068978993649242,0.13579189057156815,3,稳健领先
3090,best,1024x256,0.953484375,0.97,-0.016515624999999923,0.962140625,0.9668515625,-0.0047109375000000675,0.977640625,0.969359375,0.008281250000000018,-0.004315104166666657,1,不支持Flash领先
3090,best,2048x512,0.75187109375,0.47810546875,0.27376562500000007,0.7778125,0.47482421875,0.30298828125,0.84224609375,0.48364453125,0.3586015625,0.31178515625000003,3,稳健领先
3090,best,4096x1024,0.37965625,0.073572265625,0.30608398437499995,0.389646484375,0.075236328125,0.31441015625,0.490984375,0.076255859375,0.41472851562499996,0.34507421875,3,稳健领先
3090,best,8190x512,0.62615625,0.295875,0.33028124999999997,0.63233984375,0.29505859375,0.33728125,0.7213984375,0.30476171875,0.41663671874999997,0.36139973958333327,3,稳健领先
3090,best,8190x2047,0.12397948216902785,0.0035251587689301414,0.12045432340009771,0.11985930630190522,0.0036277479237909133,0.1162315583781143,0.1743771372740596,0.0036873473375671714,0.17068978993649242,0.13579189057156815,3,稳健领先
