config,original_config,run_id,gpu,seed,data_seed,cb,rank,dynamic_capacity,relative_to_gdn,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice_name,metric,value
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9633828125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9995
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.88792578125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.9843125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.978640625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9579375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.968828125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.999625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,64x4,valid/mqar_case/accuracy-64x4,0.99925
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,mqar_case,64x8,valid/mqar_case/accuracy-64x8,0.999625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.9579375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.999625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.88792578125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.9843125
