source_status,target,run_id,launch_id,rank,seed,data_seed,num_codebook_vectors,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,dtype_policy,gpu,gpu_name,active_state_capacity,trainable_params,started_at_utc,ended_at_utc,wall_clock_sec,status,swanlab_url,swanlab_run_dir,analysis_dir,analysis_run_dir,history_csv,manifest_path,train_config_path,last_checkpoint_path,best_checkpoint_path,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,final_valid_step,final_valid_timestamp_utc,early_stopping_disabled,fox_remote_formula,fox_remote_read_topk,fox_gd_residual_write_topk,fox_gd_residual_builder,fox_gd_residual_pack_mode,fox_gd_residual_chunk_size,fox_gd_residual_mu_min_count,vq_score_mode,vq_weight_mode,vq_update_mode,vq_softmax_tau,vq_topk,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_mqar_case_accuracy_512x64,valid_mqar_case_accuracy_256x64,valid_input_seq_len_accuracy_512,valid_input_seq_len_accuracy_1024,valid_num_kv_pairs_accuracy_128,valid_num_kv_pairs_accuracy_256,valid_gd_write_strength_mean,valid_gd_m_norm_mean,valid_gd_m_norm_max,valid_gd_mu_valid_ratio,valid_gd_lambda_mean,valid_gd_inject_ratio,valid_vq_relative_err_mean,valid_vq_c_entropy,valid_vq_c_usage_mean,valid_vq_write_entropy_mean,valid_vq_write_top1_mass_mean
new,cb256-r4-s124,gd-cb256-r4-s124-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20,4,124,123,256,64,16,4,256,b64_ga4,float32,0,NVIDIA GeForce RTX 2080 Ti,131072,1183430,2026-05-27T18:32:33.874188+00:00,2026-05-27T23:45:52.486360+00:00,18798.612172,completed,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_seed_stability/runs/sk44rnmh16r9kb829qbd5,/home/lyj/mnt/project/zoology/swanlog/run-20260528_023225-sk44rnmh16r9kb829qbd5,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20/gd-cb256-r4-s124-d123-b64-ga4-fp32-noearly4ep,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20/gd-cb256-r4-s124-d123-b64-ga4-fp32-noearly4ep/data/history.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20/manifest.json,checkpoints/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20/gd-cb256-r4-s124-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20/gd-cb256-r4-s124-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s124-2026-05-27-18-32-20/gd-cb256-r4-s124-d123-b64-ga4-fp32-noearly4ep/best.pt,4,2,8,epoch_end,2823,2026-05-27T23:45:52.282558+00:00,true,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.3433011770248413,0.94352978515625,0.67537109375,0.9202578125,0.973640625,0.9859375,0.94694921875,0.67537109375,0.9202578125,0.67537109375,0.0020971238199207517,0.004348590690781185,0.8946364226322325,0.32338209000844803,0.3205648534709499,0.3524494350902618,0.08241253004719813,3.3157747227048118,20.33730153053526,3.02165269236716,0.27909479207462734
new,cb256-r4-s125,gd-cb256-r4-s125-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20,4,125,123,256,64,16,4,256,b64_ga4,float32,1,NVIDIA GeForce RTX 2080 Ti,131072,1183430,2026-05-27T18:32:33.873821+00:00,2026-05-27T23:36:59.148803+00:00,18265.274982,completed,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_seed_stability/runs/yog0hpdcphect47j87eit,/home/lyj/mnt/project/zoology/swanlog/run-20260528_023225-yog0hpdcphect47j87eit,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20/gd-cb256-r4-s125-d123-b64-ga4-fp32-noearly4ep,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20/gd-cb256-r4-s125-d123-b64-ga4-fp32-noearly4ep/data/history.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20/manifest.json,checkpoints/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20/gd-cb256-r4-s125-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20/gd-cb256-r4-s125-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260527-seed-stability-tmux-20260527T182923Z-cb256-r4-s125-2026-05-27-18-32-20/gd-cb256-r4-s125-d123-b64-ga4-fp32-noearly4ep/best.pt,4,2,8,epoch_end,2823,2026-05-27T23:36:58.906729+00:00,true,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.2034129500389099,0.970298828125,0.83478125,0.965296875,0.982375,0.98996875,0.9738359375,0.83478125,0.965296875,0.83478125,0.0011437132784594146,0.002288072222510227,0.137165008866716,0.309261889684768,0.18672667928631342,0.2216245634037824,0.08207682996160454,3.5561098612490154,20.33730156506811,3.169123111263154,0.2601009163236807
new,cb64-r16-s124,gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23,16,124,123,64,64,16,4,256,b64_ga4,float32,0,NVIDIA GeForce RTX 2080 Ti,131072,1160390,2026-05-28T02:16:35.673483+00:00,2026-05-28T07:12:11.341260+00:00,17735.667777,completed,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_seed_stability/runs/etl7a4gztjjvrxqew3s7p,/home/lyj/mnt/project/zoology/swanlog/run-20260528_101628-etl7a4gztjjvrxqew3s7p,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep/data/history.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/manifest.json,checkpoints/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep/best.pt,4,2,8,epoch_end,2823,2026-05-28T07:12:11.147356+00:00,true,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.22389547526836395,0.9721396484375,0.819796875,0.9803984375,0.989265625,0.99578125,0.98483203125,0.819796875,0.9803984375,0.819796875,0.07212395488565403,0.2642327423931824,4.370583799623308,0.45822679428827195,0.08471437426845706,0.16497001090338306,0.08360196015841904,2.3717619062416135,81.34920585912371,2.1058776099530476,0.3817641336529974
new,cb64-r16-s125,gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23,16,125,123,64,64,16,4,256,b64_ga4,float32,1,NVIDIA GeForce RTX 2080 Ti,131072,1160390,2026-05-28T02:16:35.673759+00:00,2026-05-28T06:25:03.353318+00:00,14907.679559,completed,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_seed_stability/runs/4ipft65ftb2an39qu445o,/home/lyj/mnt/project/zoology/swanlog/run-20260528_101628-4ipft65ftb2an39qu445o,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep/data/history.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/manifest.json,checkpoints/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep/best.pt,4,2,8,epoch_end,2823,2026-05-28T06:25:03.121882+00:00,true,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.04799143224954605,0.99695361328125,0.98728515625,0.997796875,0.994609375,0.99840625,0.996203125,0.98728515625,0.997796875,0.98728515625,0.0015860609737934457,0.013486494149436198,0.5892125818109701,0.6213660164484902,0.17802203357929275,0.2375680242798158,0.05653739193572648,2.1537776319753554,81.34920586006982,1.8290976546113453,0.5758499766862581
