role,machine,zoology_commit,flash_commit,run_tag,path,file_count,total_bytes,aggregate_sha256,mirror_status
lightweight_raw,3090,b13f961d34608986fce0e57a8077708836923804,efc75ad5539b636b026c76bedb70878bfe2390cf,20260731-selected-warp-mqar-01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260731-01-selected-read-warp-mqar-screen/outputs/3090/20260731-selected-warp-mqar-01,89,3489244,2181c777ab52b32f089c50db5141f7e1c4f51e2ca360df8cd3b8454ffafca2c0,mirrored_to_2080ti_same_relative_path
checkpoints,3090,b13f961d34608986fce0e57a8077708836923804,efc75ad5539b636b026c76bedb70878bfe2390cf,20260731-selected-warp-mqar-01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260731-01-selected-read-warp-mqar-screen/outputs/3090/20260731-selected-warp-mqar-01/checkpoints,18,189993688,,retained_on_3090_not_mirrored
