source_type,machine,run_tag_or_id,source_path,zoology_commit,flash_commit,file_count,aggregate_sha256,mirrored,notes
raw,mclab-3090,20260730-k2-mqar-01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260730-04-k2-persistent-scan-mqar-regression/outputs/3090/20260730-k2-mqar-01,cd17bdce46554c41f72852460e04591b1d040587,a6b1af3d8845caa7f317e7104a1af500a03b1c24,11,bc795546b6bfd48fc12ead6ee05de80deac305c5e49baa835e7f314bbacdb8c3,true,checkpoint excluded
raw,mclab-3090,20260730-k2-mqar-02,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260730-04-k2-persistent-scan-mqar-regression/outputs/3090/20260730-k2-mqar-02,06c7f148a714b5ec8e4c218f7c9b6b5fe48f6a6d,a6b1af3d8845caa7f317e7104a1af500a03b1c24,63,402d3531a899fb028115c419441920f2f82ec24ef2516e7c4cb0ff76b8bbf06b,true,checkpoint excluded
raw,mclab-3090,20260730-k2-mqar-03,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260730-04-k2-persistent-scan-mqar-regression/outputs/3090/20260730-k2-mqar-03,e2cf8e2694f9d4d7d7ff16c671593af4378ad493,a6b1af3d8845caa7f317e7104a1af500a03b1c24,57,af9728c3b15645dd0e9ade87a5f71ea5f77d4b540314a1f15e493b45e16943d3,true,checkpoint excluded
generated-config,mclab-3090,20260730-k2-mqar-01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/20260730-04-k2-persistent-scan-mqar-regression-20260730-k2-mqar-01,cd17bdce46554c41f72852460e04591b1d040587,a6b1af3d8845caa7f317e7104a1af500a03b1c24,10,f669a1d3fd3575e8ad9e1fb2c533a66452627827cb3c8353f84b8575056d6b13,true,resolved configs
generated-config,mclab-3090,20260730-k2-mqar-02,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/20260730-04-k2-persistent-scan-mqar-regression-20260730-k2-mqar-02,06c7f148a714b5ec8e4c218f7c9b6b5fe48f6a6d,a6b1af3d8845caa7f317e7104a1af500a03b1c24,10,744f881d25dc6ce1010643bea42baf9f8aedfa8757bddfadc95104e7bb2ddb78,true,resolved configs
generated-config,mclab-3090,20260730-k2-mqar-03,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/20260730-04-k2-persistent-scan-mqar-regression-20260730-k2-mqar-03,e2cf8e2694f9d4d7d7ff16c671593af4378ad493,a6b1af3d8845caa7f317e7104a1af500a03b1c24,12,470323f8e0733a6e5137a6d01791dcfe035d240bcb89a71463fd171541137d08,true,resolved configs
checkpoint,mclab-3090,all,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260730-04-k2-persistent-scan-mqar-regression/outputs/3090/*/checkpoints,various,a6b1af3d8845caa7f317e7104a1af500a03b1c24,24,,false,best last and resume tensors remain on source
gradient-diagnostic,mclab-3090,tile-and-merge,/home/lyj/mnt/project/Flash-VQG/tmp/20260730-k2-tile-quality-diagnostic,,a6b1af3d8845caa7f317e7104a1af500a03b1c24,4,62584433e442a28dd8e89fb61d3f1233ac17477e3cac87e808e75a429cc40afa,true,single-run diagnostic only
